id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan,
3174081001,3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,202,0,202,0,28,1,27,0,20,1,13,3,3,
3174041001,3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,249,1,247,1,38,4,33,1,23,3,10,2,8,
3175081002,3175081002,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,179,2,177,0,24,2,21,1,19,1,10,2,6,
3174051003,3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,289,0,287,2,42,1,40,1,46,7,19,3,17,
3171071001,3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,52,0,52,0,4,2,1,1,12,0,5,1,6,
3175081005,3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,180,3,176,1,15,1,13,1,26,1,16,3,6,
3175061005,3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,393,1,392,0,37,3,32,2,51,5,29,3,14,
3174081004,3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,216,0,216,0,27,2,25,0,9,0,7,0,2,
3174041007,3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,161,1,160,0,46,1,45,0,23,0,19,0,4,
3174041002,3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,165,2,163,0,56,7,48,1,23,1,11,3,8,
3174041003,3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,127,0,127,0,37,3,33,1,12,0,10,2,0,
3175021003,3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,238,0,237,1,16,1,15,0,25,3,15,2,5,
3171021001,3171021001,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,164,1,163,0,31,4,25,2,19,1,17,0,1,
3171011003,3171011003,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,194,0,194,0,23,2,18,3,30,2,16,2,10,
3175031003,3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,35,0,35,0,15,1,13,1,7,0,5,1,1,
3171061004,3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,46,0,46,0,8,0,7,1,14,0,12,2,0,
3175051005,3175051005,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,147,1,146,0,30,0,29,1,12,0,6,1,5,
3171021004,3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,166,3,162,1,30,1,29,0,20,1,13,4,2,
3172041002,3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,310,2,308,0,34,2,31,1,58,3,25,1,29,
3174021004,3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,171,0,171,0,12,0,12,0,20,0,18,0,2,
3171011002,3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,214,2,212,0,40,2,38,0,20,0,17,3,0,
3171041006,3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,301,0,301,0,18,2,14,2,18,2,10,1,5,
3174011004,3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,291,0,291,0,38,2,34,2,35,3,26,0,6,
3173071002,3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,284,0,284,0,45,5,39,1,23,1,19,0,3,
3174091004,3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,270,0,270,0,37,6,31,0,25,1,16,0,8,
3173071005,3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,327,1,326,0,41,2,35,4,32,1,20,2,9,
3175101002,3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,163,5,158,0,23,0,22,1,17,0,16,0,1,
3171011005,3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,70,1,69,0,12,0,11,1,9,0,6,1,2,
3171041003,3171041003,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,374,2,372,0,35,3,31,1,81,3,37,2,39,
3175081003,3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,258,2,255,1,18,0,17,1,27,5,6,0,16,
3171031005,3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,202,0,202,0,18,0,17,1,13,0,10,1,2,
3171071005,3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,385,1,383,1,58,3,54,1,76,1,63,6,6,
