tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-07-03,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,LANSIA,Dosis 1,1017
2021-07-03,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,LANSIA,Dosis 1,214
2021-07-03,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,LANSIA,Dosis 1,240
2021-07-03,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,LANSIA,Dosis 1,526
2021-07-03,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,LANSIA,Dosis 1,1362
2021-07-03,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,LANSIA,Dosis 1,1929
2021-07-03,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,LANSIA,Dosis 1,1156
2021-07-03,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,LANSIA,Dosis 1,2554
2021-07-03,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,LANSIA,Dosis 1,784
2021-07-03,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,LANSIA,Dosis 1,1297
2021-07-03,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,LANSIA,Dosis 1,2011
2021-07-03,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,LANSIA,Dosis 1,863
2021-07-03,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,LANSIA,Dosis 1,2127
2021-07-03,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,LANSIA,Dosis 1,1242
2021-07-03,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,LANSIA,Dosis 1,1017
2021-07-03,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,LANSIA,Dosis 1,1539
2021-07-03,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,LANSIA,Dosis 1,1162
2021-07-03,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,LANSIA,Dosis 1,660
2021-07-03,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,LANSIA,Dosis 1,1637
2021-07-03,3171041002,JAKARTA PUSAT,SENEN,KENARI,LANSIA,Dosis 1,782
2021-07-03,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,LANSIA,Dosis 1,1485
2021-07-03,3171041005,JAKARTA PUSAT,SENEN,KWITANG,LANSIA,Dosis 1,1128
2021-07-03,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,LANSIA,Dosis 1,2115
2021-07-03,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,LANSIA,Dosis 1,1347
2021-07-03,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,LANSIA,Dosis 1,1741
2021-07-03,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,LANSIA,Dosis 1,1443
2021-07-03,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,LANSIA,Dosis 1,1190
2021-07-03,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,LANSIA,Dosis 1,1012
2021-07-03,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,LANSIA,Dosis 1,1065
2021-07-03,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,LANSIA,Dosis 1,1427
2021-07-03,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,LANSIA,Dosis 1,1385
2021-07-03,3171041001,JAKARTA PUSAT,SENEN,SENEN,LANSIA,Dosis 1,488
2021-07-03,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,LANSIA,Dosis 1,1470
2021-07-03,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,LANSIA,Dosis 1,1318
2021-07-03,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,LANSIA,Dosis 1,2300
2021-07-03,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,LANSIA,Dosis 1,1145
2021-07-04,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,LANSIA,Dosis 1,1578
