tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-06-20,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,PELAYAN PUBLIK,DOSIS 1,3808
2021-06-20,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,PELAYAN PUBLIK,DOSIS 1,6816
2021-06-20,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,PELAYAN PUBLIK,DOSIS 1,4139
2021-06-21,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PELAYAN PUBLIK,DOSIS 1,4144
2021-06-21,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,PELAYAN PUBLIK,DOSIS 1,3190
2021-06-21,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,PELAYAN PUBLIK,DOSIS 1,5001
2021-06-21,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,PELAYAN PUBLIK,DOSIS 1,5427
2021-06-21,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,PELAYAN PUBLIK,DOSIS 1,4415
2021-06-21,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,PELAYAN PUBLIK,DOSIS 1,3157
2021-06-21,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,PELAYAN PUBLIK,DOSIS 1,1416
2021-06-21,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,PELAYAN PUBLIK,DOSIS 1,3071
2021-06-21,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,PELAYAN PUBLIK,DOSIS 1,3859
2021-06-21,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,PELAYAN PUBLIK,DOSIS 1,633
2021-06-21,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,PELAYAN PUBLIK,DOSIS 1,551
2021-06-21,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,PELAYAN PUBLIK,DOSIS 1,1011
2021-06-21,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,PELAYAN PUBLIK,DOSIS 1,3276
2021-06-21,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,PELAYAN PUBLIK,DOSIS 1,3736
2021-06-21,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,PELAYAN PUBLIK,DOSIS 1,3608
2021-06-21,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,PELAYAN PUBLIK,DOSIS 1,7641
2021-06-21,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PELAYAN PUBLIK,DOSIS 1,1516
2021-06-21,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,PELAYAN PUBLIK,DOSIS 1,5020
2021-06-21,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,PELAYAN PUBLIK,DOSIS 1,4216
2021-06-21,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PELAYAN PUBLIK,DOSIS 1,3033
2021-06-21,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,PELAYAN PUBLIK,DOSIS 1,3828
2021-06-21,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PELAYAN PUBLIK,DOSIS 1,2765
2021-06-21,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,PELAYAN PUBLIK,DOSIS 1,1491
2021-06-21,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,PELAYAN PUBLIK,DOSIS 1,5010
2021-06-21,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PELAYAN PUBLIK,DOSIS 1,3775
2021-06-21,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PELAYAN PUBLIK,DOSIS 1,1736
2021-06-21,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,PELAYAN PUBLIK,DOSIS 1,3667
2021-06-21,3171041002,JAKARTA PUSAT,SENEN,KENARI,PELAYAN PUBLIK,DOSIS 1,2202
2021-06-21,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,PELAYAN PUBLIK,DOSIS 1,3848
2021-06-21,3171041005,JAKARTA PUSAT,SENEN,KWITANG,PELAYAN PUBLIK,DOSIS 1,2775
2021-06-21,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,PELAYAN PUBLIK,DOSIS 1,4708
2021-06-21,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,PELAYAN PUBLIK,DOSIS 1,3706
2021-06-21,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,PELAYAN PUBLIK,DOSIS 1,3022
2021-06-21,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,PELAYAN PUBLIK,DOSIS 1,4180
2021-06-21,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,PELAYAN PUBLIK,DOSIS 1,3977
2021-06-21,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PELAYAN PUBLIK,DOSIS 1,4149
2021-06-21,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,PELAYAN PUBLIK,DOSIS 1,2892
2021-06-21,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,PELAYAN PUBLIK,DOSIS 1,2989
2021-06-21,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,PELAYAN PUBLIK,DOSIS 1,3868
2021-06-21,3171041001,JAKARTA PUSAT,SENEN,SENEN,PELAYAN PUBLIK,DOSIS 1,1454
2021-06-21,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,PELAYAN PUBLIK,DOSIS 1,5368
2021-06-21,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,PELAYAN PUBLIK,DOSIS 1,3848
2021-06-21,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,PELAYAN PUBLIK,DOSIS 1,6964
2021-06-21,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,PELAYAN PUBLIK,DOSIS 1,4192
2021-06-22,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PELAYAN PUBLIK,DOSIS 1,4336
2021-06-22,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,PELAYAN PUBLIK,DOSIS 1,3356
2021-06-22,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,PELAYAN PUBLIK,DOSIS 1,5265
2021-06-22,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,PELAYAN PUBLIK,DOSIS 1,5618
2021-06-22,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,PELAYAN PUBLIK,DOSIS 1,4581
2021-06-22,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,PELAYAN PUBLIK,DOSIS 1,3256
2021-06-22,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,PELAYAN PUBLIK,DOSIS 1,1457
2021-06-22,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,PELAYAN PUBLIK,DOSIS 1,3175
2021-06-22,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,PELAYAN PUBLIK,DOSIS 1,4016
2021-06-22,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,PELAYAN PUBLIK,DOSIS 1,648
2021-06-22,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,PELAYAN PUBLIK,DOSIS 1,556
2021-06-22,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,PELAYAN PUBLIK,DOSIS 1,1058
