tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-06-24,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,GOTONG ROYONG,Dosis 1,54
2021-06-24,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,GOTONG ROYONG,Dosis 1,70
2021-06-24,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,GOTONG ROYONG,Dosis 1,50
2021-06-24,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,GOTONG ROYONG,Dosis 1,56
2021-06-24,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,GOTONG ROYONG,Dosis 1,29
2021-06-24,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,GOTONG ROYONG,Dosis 1,57
2021-06-24,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,GOTONG ROYONG,Dosis 1,95
2021-06-24,3171041001,JAKARTA PUSAT,SENEN,SENEN,GOTONG ROYONG,Dosis 1,12
2021-06-24,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,GOTONG ROYONG,Dosis 1,100
2021-06-24,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,GOTONG ROYONG,Dosis 1,93
2021-06-24,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,GOTONG ROYONG,Dosis 1,65
2021-06-24,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,GOTONG ROYONG,Dosis 1,60
2021-06-25,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,GOTONG ROYONG,Dosis 1,76
2021-06-25,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,GOTONG ROYONG,Dosis 1,59
