tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-07-05,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Tahapan 3,Dosis 1,3950
2021-07-05,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Tahapan 3,Dosis 1,3711
2021-07-05,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Tahapan 3,Dosis 1,3297
2021-07-05,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,Tahapan 3,Dosis 1,2463
2021-07-05,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,Tahapan 3,Dosis 1,965
2021-07-05,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,Tahapan 3,Dosis 1,2680
2021-07-05,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,Tahapan 3,Dosis 1,4140
2021-07-05,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,Tahapan 3,Dosis 1,369
2021-07-05,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,Tahapan 3,Dosis 1,395
2021-07-05,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,Tahapan 3,Dosis 1,598
2021-07-05,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Tahapan 3,Dosis 1,3039
2021-07-05,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Tahapan 3,Dosis 1,2913
2021-07-05,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Tahapan 3,Dosis 1,3073
2021-07-05,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Tahapan 3,Dosis 1,6429
2021-07-05,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Tahapan 3,Dosis 1,1295
2021-07-05,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Tahapan 3,Dosis 1,5125
2021-07-05,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Tahapan 3,Dosis 1,4124
2021-07-05,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Tahapan 3,Dosis 1,2751
2021-07-05,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Tahapan 3,Dosis 1,3683
2021-07-05,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Tahapan 3,Dosis 1,2104
2021-07-05,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Tahapan 3,Dosis 1,1285
2021-07-05,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Tahapan 3,Dosis 1,4368
2021-07-05,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Tahapan 3,Dosis 1,2573
2021-07-05,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Tahapan 3,Dosis 1,1197
2021-07-05,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Tahapan 3,Dosis 1,3636
2021-07-05,3171041002,JAKARTA PUSAT,SENEN,KENARI,Tahapan 3,Dosis 1,1515
2021-07-05,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,Tahapan 3,Dosis 1,3725
2021-07-05,3171041005,JAKARTA PUSAT,SENEN,KWITANG,Tahapan 3,Dosis 1,2512
2021-07-05,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Tahapan 3,Dosis 1,4342
2021-07-05,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,Tahapan 3,Dosis 1,2424
2021-07-05,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Tahapan 3,Dosis 1,2339
2021-07-05,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,Tahapan 3,Dosis 1,3297
2021-07-05,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Tahapan 3,Dosis 1,2654
2021-07-05,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Tahapan 3,Dosis 1,2968
2021-07-05,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Tahapan 3,Dosis 1,1922
2021-07-05,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Tahapan 3,Dosis 1,2340
2021-07-05,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Tahapan 3,Dosis 1,2904
2021-07-05,3171041001,JAKARTA PUSAT,SENEN,SENEN,Tahapan 3,Dosis 1,996
