id,0,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kematian,satuan,tahun
32,32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,3,ORANG,2019
33,33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,0,ORANG,2019
34,34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,0,ORANG,2019
35,35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,ORANG,2019
36,36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,ORANG,2019
37,37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,0,ORANG,2019
38,38,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,0,ORANG,2019
39,39,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,6,ORANG,2019
40,40,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,15,ORANG,2019
41,41,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,0,ORANG,2019
42,42,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,0,ORANG,2019
43,43,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,15,ORANG,2019
44,44,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,28,ORANG,2019
45,45,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,79,ORANG,2019
46,46,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,81,ORANG,2019
47,47,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,0,ORANG,2019
48,48,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,0,ORANG,2019
49,49,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,9,ORANG,2019
50,50,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,23,ORANG,2019
51,51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,0,ORANG,2019
52,52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,0,ORANG,2019
53,53,32,JAWA BARAT,3279,KOTA BANJAR ,LAKI-LAKI,9,ORANG,2019
54,54,32,JAWA BARAT,3279,KOTA BANJAR ,PEREMPUAN,0,ORANG,2019
