id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,persentase_tempat_umum,satuan,tahun
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA,79,PERSEN,2019
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PUSKESMAS,97,PERSEN,2019
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH SAKIT,75,PERSEN,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TEMPAT IBADAH,91,PERSEN,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PASAR,61,PERSEN,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD,70,PERSEN,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,62,PERSEN,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA,65,PERSEN,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PUSKESMAS,100,PERSEN,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH SAKIT,100,PERSEN,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TEMPAT IBADAH,65,PERSEN,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PASAR,35,PERSEN,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD,67,PERSEN,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,58,PERSEN,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA,52,PERSEN,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PUSKESMAS,84,PERSEN,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH SAKIT,70,PERSEN,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TEMPAT IBADAH,64,PERSEN,2019
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PASAR,44,PERSEN,2019
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD,86,PERSEN,2019
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMP,76,PERSEN,2019
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA,0,PERSEN,2019
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,PUSKESMAS,100,PERSEN,2019
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT,100,PERSEN,2019
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,TEMPAT IBADAH,100,PERSEN,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,PASAR,43,PERSEN,2019
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD,71,PERSEN,2019
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMP,56,PERSEN,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA,67,PERSEN,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PUSKESMAS,100,PERSEN,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH SAKIT,100,PERSEN,2019
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TEMPAT IBADAH,93,PERSEN,2019
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PASAR,45,PERSEN,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD,100,PERSEN,2019
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMP,100,PERSEN,2019
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA,100,PERSEN,2019
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PUSKESMAS,100,PERSEN,2019
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH SAKIT,100,PERSEN,2019
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TEMPAT IBADAH,100,PERSEN,2019
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PASAR,100,PERSEN,2019
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD,65,PERSEN,2019
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMP,74,PERSEN,2019
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA,73,PERSEN,2019
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,PUSKESMAS,92,PERSEN,2019
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH SAKIT,88,PERSEN,2019
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,TEMPAT IBADAH,76,PERSEN,2019
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,PASAR,50,PERSEN,2019
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD,63,PERSEN,2019
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMP,61,PERSEN,2019
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA,59,PERSEN,2019
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PUSKESMAS,95,PERSEN,2019
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH SAKIT,86,PERSEN,2019
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TEMPAT IBADAH,57,PERSEN,2019
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PASAR,32,PERSEN,2019
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD,78,PERSEN,2019
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMP,76,PERSEN,2019
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA,84,PERSEN,2019
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PUSKESMAS,100,PERSEN,2019
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH SAKIT,0,PERSEN,2019
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TEMPAT IBADAH,0,PERSEN,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PASAR,0,PERSEN,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,SD,75,PERSEN,2019
128,32,JAWA BARAT,3271,KOTA BOGOR,SMP,64,PERSEN,2019
129,32,JAWA BARAT,3271,KOTA BOGOR,SMA,69,PERSEN,2019
130,32,JAWA BARAT,3271,KOTA BOGOR,PUSKESMAS,96,PERSEN,2019
131,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH SAKIT,100,PERSEN,2019
132,32,JAWA BARAT,3271,KOTA BOGOR,TEMPAT IBADAH,59,PERSEN,2019
133,32,JAWA BARAT,3271,KOTA BOGOR,PASAR,27,PERSEN,2019
134,32,JAWA BARAT,3272,KOTA SUKABUMI,SD,84,PERSEN,2019
135,32,JAWA BARAT,3272,KOTA SUKABUMI,SMP,51,PERSEN,2019
136,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA,42,PERSEN,2019
137,32,JAWA BARAT,3272,KOTA SUKABUMI,PUSKESMAS,100,PERSEN,2019
138,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH SAKIT,100,PERSEN,2019
139,32,JAWA BARAT,3272,KOTA SUKABUMI,TEMPAT IBADAH,0,PERSEN,2019
140,32,JAWA BARAT,3272,KOTA SUKABUMI,PASAR,0,PERSEN,2019
141,32,JAWA BARAT,3273,KOTA BANDUNG,SD,79,PERSEN,2019
142,32,JAWA BARAT,3273,KOTA BANDUNG,SMP,79,PERSEN,2019
143,32,JAWA BARAT,3273,KOTA BANDUNG,SMA,76,PERSEN,2019
144,32,JAWA BARAT,3273,KOTA BANDUNG,PUSKESMAS,100,PERSEN,2019
145,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH SAKIT,68,PERSEN,2019
146,32,JAWA BARAT,3273,KOTA BANDUNG,TEMPAT IBADAH,73,PERSEN,2019
147,32,JAWA BARAT,3273,KOTA BANDUNG,PASAR,26,PERSEN,2019
148,32,JAWA BARAT,3274,KOTA CIREBON,SD,93,PERSEN,2019
149,32,JAWA BARAT,3274,KOTA CIREBON,SMP,92,PERSEN,2019
150,32,JAWA BARAT,3274,KOTA CIREBON,SMA,90,PERSEN,2019
151,32,JAWA BARAT,3274,KOTA CIREBON,PUSKESMAS,100,PERSEN,2019
152,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH SAKIT,91,PERSEN,2019
153,32,JAWA BARAT,3274,KOTA CIREBON,TEMPAT IBADAH,94,PERSEN,2019
154,32,JAWA BARAT,3274,KOTA CIREBON,PASAR,75,PERSEN,2019
155,32,JAWA BARAT,3275,KOTA BEKASI,SD,86,PERSEN,2019
156,32,JAWA BARAT,3275,KOTA BEKASI,SMP,73,PERSEN,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,SMA,94,PERSEN,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,PUSKESMAS,100,PERSEN,2019
159,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH SAKIT,72,PERSEN,2019
160,32,JAWA BARAT,3275,KOTA BEKASI,TEMPAT IBADAH,73,PERSEN,2019
