id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,jumlah_peserta_kb,satuan,tahun
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOP,1874,ORANG,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOW,10390,ORANG,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,IMPLAN,13450,ORANG,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONDOM,1545,ORANG,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SUNTIK,109660,ORANG,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PIL,27221,ORANG,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKDR,16683,ORANG,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOP,433,ORANG,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOW,7019,ORANG,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,IMPLAN,12490,ORANG,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONDOM,4603,ORANG,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SUNTIK,150823,ORANG,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PIL,73153,ORANG,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKDR,10175,ORANG,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOP,1619,ORANG,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOW,6155,ORANG,2019
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,IMPLAN,20991,ORANG,2019
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,KONDOM,3222,ORANG,2019
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,SUNTIK,78076,ORANG,2019
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,PIL,34412,ORANG,2019
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,AKDR,14301,ORANG,2019
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,MOP,1140,ORANG,2019
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,MOW,4877,ORANG,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,IMPLAN,10349,ORANG,2019
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONDOM,2899,ORANG,2019
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SUNTIK,76383,ORANG,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PIL,41008,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AKDR,16552,ORANG,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MOP,1287,ORANG,2019
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MOW,4146,ORANG,2019
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,IMPLAN,12300,ORANG,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KONDOM,6972,ORANG,2019
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SUNTIK,193549,ORANG,2019
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PIL,85851,ORANG,2019
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKDR,20009,ORANG,2019
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MOP,1946,ORANG,2019
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MOW,8802,ORANG,2019
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,IMPLAN,26028,ORANG,2019
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,KONDOM,20646,ORANG,2019
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,SUNTIK,286075,ORANG,2019
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,PIL,160653,ORANG,2019
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,AKDR,30000,ORANG,2019
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,MOP,3530,ORANG,2019
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,MOW,8777,ORANG,2019
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,IMPLAN,28915,ORANG,2019
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONDOM,1868,ORANG,2019
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SUNTIK,136212,ORANG,2019
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PIL,43486,ORANG,2019
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AKDR,24946,ORANG,2019
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MOP,1271,ORANG,2019
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MOW,4933,ORANG,2019
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,IMPLAN,13597,ORANG,2019
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONDOM,1411,ORANG,2019
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SUNTIK,36651,ORANG,2019
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PIL,16712,ORANG,2019
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKDR,5004,ORANG,2019
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MOP,205,ORANG,2019
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MOW,2106,ORANG,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,IMPLAN,5721,ORANG,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,KONDOM,4121,ORANG,2019
128,32,JAWA BARAT,3271,KOTA BOGOR,SUNTIK,59235,ORANG,2019
129,32,JAWA BARAT,3271,KOTA BOGOR,PIL,20770,ORANG,2019
130,32,JAWA BARAT,3271,KOTA BOGOR,AKDR,23192,ORANG,2019
131,32,JAWA BARAT,3271,KOTA BOGOR,MOP,458,ORANG,2019
132,32,JAWA BARAT,3271,KOTA BOGOR,MOW,4178,ORANG,2019
133,32,JAWA BARAT,3271,KOTA BOGOR,IMPLAN,6737,ORANG,2019
134,32,JAWA BARAT,3272,KOTA SUKABUMI,KONDOM,1258,ORANG,2019
135,32,JAWA BARAT,3272,KOTA SUKABUMI,SUNTIK,20277,ORANG,2019
136,32,JAWA BARAT,3272,KOTA SUKABUMI,PIL,9755,ORANG,2019
137,32,JAWA BARAT,3272,KOTA SUKABUMI,AKDR,5967,ORANG,2019
138,32,JAWA BARAT,3272,KOTA SUKABUMI,MOP,158,ORANG,2019
139,32,JAWA BARAT,3272,KOTA SUKABUMI,MOW,1281,ORANG,2019
140,32,JAWA BARAT,3272,KOTA SUKABUMI,IMPLAN,4446,ORANG,2019
141,32,JAWA BARAT,3273,KOTA BANDUNG,KONDOM,7000,ORANG,2019
142,32,JAWA BARAT,3273,KOTA BANDUNG,SUNTIK,114252,ORANG,2019
143,32,JAWA BARAT,3273,KOTA BANDUNG,PIL,41686,ORANG,2019
144,32,JAWA BARAT,3273,KOTA BANDUNG,AKDR,91389,ORANG,2019
145,32,JAWA BARAT,3273,KOTA BANDUNG,MOP,666,ORANG,2019
146,32,JAWA BARAT,3273,KOTA BANDUNG,MOW,10558,ORANG,2019
147,32,JAWA BARAT,3273,KOTA BANDUNG,IMPLAN,6673,ORANG,2019
148,32,JAWA BARAT,3274,KOTA CIREBON,KONDOM,435,ORANG,2019
149,32,JAWA BARAT,3274,KOTA CIREBON,SUNTIK,15747,ORANG,2019
150,32,JAWA BARAT,3274,KOTA CIREBON,PIL,3028,ORANG,2019
151,32,JAWA BARAT,3274,KOTA CIREBON,AKDR,3399,ORANG,2019
152,32,JAWA BARAT,3274,KOTA CIREBON,MOP,36,ORANG,2019
153,32,JAWA BARAT,3274,KOTA CIREBON,MOW,2126,ORANG,2019
154,32,JAWA BARAT,3274,KOTA CIREBON,IMPLAN,1278,ORANG,2019
155,32,JAWA BARAT,3275,KOTA BEKASI,KONDOM,11053,ORANG,2019
156,32,JAWA BARAT,3275,KOTA BEKASI,SUNTIK,163894,ORANG,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,PIL,76487,ORANG,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,AKDR,68564,ORANG,2019
159,32,JAWA BARAT,3275,KOTA BEKASI,MOP,2190,ORANG,2019
160,32,JAWA BARAT,3275,KOTA BEKASI,MOW,9642,ORANG,2019
161,32,JAWA BARAT,3275,KOTA BEKASI,IMPLAN,22791,ORANG,2019
162,32,JAWA BARAT,3276,KOTA DEPOK,KONDOM,10905,ORANG,2019
163,32,JAWA BARAT,3276,KOTA DEPOK,SUNTIK,120311,ORANG,2019
164,32,JAWA BARAT,3276,KOTA DEPOK,PIL,61646,ORANG,2019
165,32,JAWA BARAT,3276,KOTA DEPOK,AKDR,43123,ORANG,2019
166,32,JAWA BARAT,3276,KOTA DEPOK,MOP,1105,ORANG,2019
167,32,JAWA BARAT,3276,KOTA DEPOK,MOW,7425,ORANG,2019
168,32,JAWA BARAT,3276,KOTA DEPOK,IMPLAN,16161,ORANG,2019
169,32,JAWA BARAT,3277,KOTA CIMAHI,KONDOM,1733,ORANG,2019
170,32,JAWA BARAT,3277,KOTA CIMAHI,SUNTIK,38204,ORANG,2019
171,32,JAWA BARAT,3277,KOTA CIMAHI,PIL,9606,ORANG,2019
172,32,JAWA BARAT,3277,KOTA CIMAHI,AKDR,19492,ORANG,2019
173,32,JAWA BARAT,3277,KOTA CIMAHI,MOP,202,ORANG,2019
174,32,JAWA BARAT,3277,KOTA CIMAHI,MOW,2791,ORANG,2019
175,32,JAWA BARAT,3277,KOTA CIMAHI,IMPLAN,869,ORANG,2019
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KONDOM,1871,ORANG,2019
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SUNTIK,84379,ORANG,2019
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PIL,24009,ORANG,2019
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AKDR,20861,ORANG,2019
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MOP,253,ORANG,2019
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MOW,2576,ORANG,2019
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,IMPLAN,4620,ORANG,2019
183,32,JAWA BARAT,3279,KOTA BANJAR,KONDOM,906,ORANG,2019
184,32,JAWA BARAT,3279,KOTA BANJAR,SUNTIK,13592,ORANG,2019
185,32,JAWA BARAT,3279,KOTA BANJAR,PIL,6253,ORANG,2019
186,32,JAWA BARAT,3279,KOTA BANJAR,AKDR,2965,ORANG,2019
187,32,JAWA BARAT,3279,KOTA BANJAR,MOP,435,ORANG,2019
188,32,JAWA BARAT,3279,KOTA BANJAR,MOW,1174,ORANG,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,IMPLAN,3230,ORANG,2019
