id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kasus,jenis_kelamin,jumlah_penderita,satuan,tahun
45,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
46,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
47,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS KRONIS MENINGGAL,LAKI-LAKI,11.0,ORANG,2019
48,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KASUS KRONIS MENINGGAL,PEREMPUAN,15.0,ORANG,2019
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,,ORANG,2019
50,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,,ORANG,2019
51,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,,ORANG,2019
52,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,,ORANG,2019
53,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KRONIS PINDAH,LAKI-LAKI,,ORANG,2019
54,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KRONIS PINDAH,PEREMPUAN,,ORANG,2019
55,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KRONIS MENINGGAL,LAKI-LAKI,,ORANG,2019
56,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KASUS KRONIS MENINGGAL,PEREMPUAN,,ORANG,2019
57,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,3.0,ORANG,2019
58,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,4.0,ORANG,2019
59,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
60,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
61,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
63,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KRONIS MENINGGAL,LAKI-LAKI,1.0,ORANG,2019
64,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KASUS KRONIS MENINGGAL,PEREMPUAN,0.0,ORANG,2019
65,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,7.0,ORANG,2019
66,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,11.0,ORANG,2019
67,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
68,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,0.0,ORANG,2019
69,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KRONIS PINDAH,LAKI-LAKI,1.0,ORANG,2019
70,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KRONIS PINDAH,PEREMPUAN,1.0,ORANG,2019
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KRONIS MENINGGAL,LAKI-LAKI,3.0,ORANG,2019
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KRONIS MENINGGAL,PEREMPUAN,1.0,ORANG,2019
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KRONIS TAHUN SEBELUMNYA,LAKI-LAKI,12.0,ORANG,2019
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KRONIS TAHUN SEBELUMNYA,PEREMPUAN,14.0,ORANG,2019
75,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KRONIS BARU DITEMUKAN,LAKI-LAKI,0.0,ORANG,2019
76,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KRONIS BARU DITEMUKAN,PEREMPUAN,1.0,ORANG,2019
77,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KRONIS PINDAH,LAKI-LAKI,0.0,ORANG,2019
78,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KRONIS PINDAH,PEREMPUAN,0.0,ORANG,2019
79,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KRONIS MENINGGAL,LAKI-LAKI,2.0,ORANG,2019
