id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_kasus,satuan,tahun
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15-19,LAKI-LAKI,0,ORANG,2019
90,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15-19,PEREMPUAN,0,ORANG,2019
91,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20-24,LAKI-LAKI,7,ORANG,2019
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20-24,PEREMPUAN,2,ORANG,2019
93,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25-49,LAKI-LAKI,48,ORANG,2019
94,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25-49,PEREMPUAN,21,ORANG,2019
95,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,≥50,LAKI-LAKI,5,ORANG,2019
96,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,≥50,PEREMPUAN,2,ORANG,2019
97,32,JAWA BARAT,3209,KABUPATEN CIREBON,0-4,LAKI-LAKI,1,ORANG,2019
98,32,JAWA BARAT,3209,KABUPATEN CIREBON,0-4,PEREMPUAN,1,ORANG,2019
99,32,JAWA BARAT,3209,KABUPATEN CIREBON,5-14,LAKI-LAKI,2,ORANG,2019
100,32,JAWA BARAT,3209,KABUPATEN CIREBON,5-14,PEREMPUAN,0,ORANG,2019
101,32,JAWA BARAT,3209,KABUPATEN CIREBON,15-19,LAKI-LAKI,1,ORANG,2019
102,32,JAWA BARAT,3209,KABUPATEN CIREBON,15-19,PEREMPUAN,0,ORANG,2019
103,32,JAWA BARAT,3209,KABUPATEN CIREBON,20-24,LAKI-LAKI,17,ORANG,2019
104,32,JAWA BARAT,3209,KABUPATEN CIREBON,20-24,PEREMPUAN,8,ORANG,2019
105,32,JAWA BARAT,3209,KABUPATEN CIREBON,25-49,LAKI-LAKI,133,ORANG,2019
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,25-49,PEREMPUAN,73,ORANG,2019
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,≥50,LAKI-LAKI,17,ORANG,2019
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,≥50,PEREMPUAN,4,ORANG,2019
109,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0-4,LAKI-LAKI,0,ORANG,2019
110,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0-4,PEREMPUAN,1,ORANG,2019
111,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5-14,LAKI-LAKI,0,ORANG,2019
112,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5-14,PEREMPUAN,0,ORANG,2019
113,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15-19,LAKI-LAKI,2,ORANG,2019
114,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15-19,PEREMPUAN,0,ORANG,2019
115,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20-24,LAKI-LAKI,14,ORANG,2019
116,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20-24,PEREMPUAN,5,ORANG,2019
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25-49,LAKI-LAKI,51,ORANG,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25-49,PEREMPUAN,21,ORANG,2019
119,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,≥50,LAKI-LAKI,3,ORANG,2019
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,≥50,PEREMPUAN,0,ORANG,2019
121,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0-4,LAKI-LAKI,1,ORANG,2019
122,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0-4,PEREMPUAN,0,ORANG,2019
123,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5-14,LAKI-LAKI,0,ORANG,2019
124,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5-14,PEREMPUAN,0,ORANG,2019
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15-19,LAKI-LAKI,3,ORANG,2019
126,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15-19,PEREMPUAN,0,ORANG,2019
127,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20-24,LAKI-LAKI,15,ORANG,2019
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20-24,PEREMPUAN,10,ORANG,2019
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25-49,LAKI-LAKI,46,ORANG,2019
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25-49,PEREMPUAN,28,ORANG,2019
131,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,≥50,LAKI-LAKI,1,ORANG,2019
132,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,≥50,PEREMPUAN,0,ORANG,2019
133,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0-4,LAKI-LAKI,0,ORANG,2019
134,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0-4,PEREMPUAN,1,ORANG,2019
135,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5-14,LAKI-LAKI,1,ORANG,2019
136,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5-14,PEREMPUAN,0,ORANG,2019
137,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15-19,LAKI-LAKI,3,ORANG,2019
138,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,15-19,PEREMPUAN,5,ORANG,2019
139,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20-24,LAKI-LAKI,26,ORANG,2019
140,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,20-24,PEREMPUAN,13,ORANG,2019
141,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,25-49,LAKI-LAKI,50,ORANG,2019
142,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,25-49,PEREMPUAN,48,ORANG,2019
143,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,≥50,LAKI-LAKI,1,ORANG,2019
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,≥50,PEREMPUAN,3,ORANG,2019
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-4,LAKI-LAKI,84,ORANG,2019
146,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-4,PEREMPUAN,65,ORANG,2019
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,5-14,LAKI-LAKI,1,ORANG,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,5-14,PEREMPUAN,0,ORANG,2019
149,32,JAWA BARAT,3213,KABUPATEN SUBANG,15-19,LAKI-LAKI,6,ORANG,2019
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,15-19,PEREMPUAN,1,ORANG,2019
151,32,JAWA BARAT,3213,KABUPATEN SUBANG,20-24,LAKI-LAKI,26,ORANG,2019
152,32,JAWA BARAT,3213,KABUPATEN SUBANG,20-24,PEREMPUAN,13,ORANG,2019
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,25-49,LAKI-LAKI,105,ORANG,2019
154,32,JAWA BARAT,3213,KABUPATEN SUBANG,25-49,PEREMPUAN,34,ORANG,2019
155,32,JAWA BARAT,3213,KABUPATEN SUBANG,≥50,LAKI-LAKI,1,ORANG,2019
156,32,JAWA BARAT,3213,KABUPATEN SUBANG,≥50,PEREMPUAN,3,ORANG,2019
157,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-4,LAKI-LAKI,3,ORANG,2019
158,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-4,PEREMPUAN,2,ORANG,2019
159,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5-14,LAKI-LAKI,0,ORANG,2019
160,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5-14,PEREMPUAN,0,ORANG,2019
161,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15-19,LAKI-LAKI,2,ORANG,2019
162,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15-19,PEREMPUAN,1,ORANG,2019
163,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20-24,LAKI-LAKI,24,ORANG,2019
164,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20-24,PEREMPUAN,9,ORANG,2019
165,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,25-49,LAKI-LAKI,105,ORANG,2019
166,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,25-49,PEREMPUAN,34,ORANG,2019
167,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,≥50,LAKI-LAKI,13,ORANG,2019
168,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,≥50,PEREMPUAN,4,ORANG,2019
169,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-4,LAKI-LAKI,1,ORANG,2019
170,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-4,PEREMPUAN,0,ORANG,2019
171,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5-14,LAKI-LAKI,0,ORANG,2019
172,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5-14,PEREMPUAN,0,ORANG,2019
173,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15-19,LAKI-LAKI,34,ORANG,2019
174,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15-19,PEREMPUAN,4,ORANG,2019
175,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20-24,LAKI-LAKI,78,ORANG,2019
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,20-24,PEREMPUAN,48,ORANG,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,25-49,LAKI-LAKI,44,ORANG,2019
178,32,JAWA BARAT,3215,KABUPATEN KARAWANG,25-49,PEREMPUAN,39,ORANG,2019
179,32,JAWA BARAT,3215,KABUPATEN KARAWANG,≥50,LAKI-LAKI,5,ORANG,2019
180,32,JAWA BARAT,3215,KABUPATEN KARAWANG,≥50,PEREMPUAN,2,ORANG,2019
181,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-4,LAKI-LAKI,0,ORANG,2019
182,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-4,PEREMPUAN,2,ORANG,2019
183,32,JAWA BARAT,3216,KABUPATEN BEKASI,5-14,LAKI-LAKI,0,ORANG,2019
184,32,JAWA BARAT,3216,KABUPATEN BEKASI,5-14,PEREMPUAN,1,ORANG,2019
185,32,JAWA BARAT,3216,KABUPATEN BEKASI,15-19,LAKI-LAKI,6,ORANG,2019
186,32,JAWA BARAT,3216,KABUPATEN BEKASI,15-19,PEREMPUAN,2,ORANG,2019
187,32,JAWA BARAT,3216,KABUPATEN BEKASI,20-24,LAKI-LAKI,34,ORANG,2019
188,32,JAWA BARAT,3216,KABUPATEN BEKASI,20-24,PEREMPUAN,12,ORANG,2019
189,32,JAWA BARAT,3216,KABUPATEN BEKASI,25-49,LAKI-LAKI,102,ORANG,2019
190,32,JAWA BARAT,3216,KABUPATEN BEKASI,25-49,PEREMPUAN,57,ORANG,2019
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,≥50,LAKI-LAKI,4,ORANG,2019
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,≥50,PEREMPUAN,2,ORANG,2019
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-4,LAKI-LAKI,0,ORANG,2019
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-4,PEREMPUAN,0,ORANG,2019
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5-14,LAKI-LAKI,0,ORANG,2019
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5-14,PEREMPUAN,0,ORANG,2019
197,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15-19,LAKI-LAKI,2,ORANG,2019
198,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15-19,PEREMPUAN,0,ORANG,2019
199,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20-24,LAKI-LAKI,15,ORANG,2019
200,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20-24,PEREMPUAN,0,ORANG,2019
201,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25-49,LAKI-LAKI,14,ORANG,2019
202,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25-49,PEREMPUAN,5,ORANG,2019
203,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,≥50,LAKI-LAKI,0,ORANG,2019
204,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,≥50,PEREMPUAN,0,ORANG,2019
205,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-4,LAKI-LAKI,0,ORANG,2019
206,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-4,PEREMPUAN,0,ORANG,2019
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5-14,LAKI-LAKI,1,ORANG,2019
208,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5-14,PEREMPUAN,0,ORANG,2019
209,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,15-19,LAKI-LAKI,0,ORANG,2019
210,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,15-19,PEREMPUAN,2,ORANG,2019
211,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20-24,LAKI-LAKI,6,ORANG,2019
212,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20-24,PEREMPUAN,2,ORANG,2019
213,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,25-49,LAKI-LAKI,9,ORANG,2019
214,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,25-49,PEREMPUAN,3,ORANG,2019
215,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,≥50,LAKI-LAKI,2,ORANG,2019
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,≥50,PEREMPUAN,1,ORANG,2019
217,32,JAWA BARAT,3271,KOTA BOGOR,0-4,LAKI-LAKI,6,ORANG,2019
218,32,JAWA BARAT,3271,KOTA BOGOR,0-4,PEREMPUAN,3,ORANG,2019
219,32,JAWA BARAT,3271,KOTA BOGOR,5-14,LAKI-LAKI,1,ORANG,2019
220,32,JAWA BARAT,3271,KOTA BOGOR,5-14,PEREMPUAN,2,ORANG,2019
221,32,JAWA BARAT,3271,KOTA BOGOR,15-19,LAKI-LAKI,5,ORANG,2019
222,32,JAWA BARAT,3271,KOTA BOGOR,15-19,PEREMPUAN,2,ORANG,2019
223,32,JAWA BARAT,3271,KOTA BOGOR,20-24,LAKI-LAKI,58,ORANG,2019
224,32,JAWA BARAT,3271,KOTA BOGOR,20-24,PEREMPUAN,5,ORANG,2019
225,32,JAWA BARAT,3271,KOTA BOGOR,25-49,LAKI-LAKI,254,ORANG,2019
226,32,JAWA BARAT,3271,KOTA BOGOR,25-49,PEREMPUAN,95,ORANG,2019
227,32,JAWA BARAT,3271,KOTA BOGOR,≥50,LAKI-LAKI,7,ORANG,2019
228,32,JAWA BARAT,3271,KOTA BOGOR,≥50,PEREMPUAN,5,ORANG,2019
229,32,JAWA BARAT,3272,KOTA SUKABUMI,0-4,LAKI-LAKI,0,ORANG,2019
230,32,JAWA BARAT,3272,KOTA SUKABUMI,0-4,PEREMPUAN,2,ORANG,2019
231,32,JAWA BARAT,3272,KOTA SUKABUMI,5-14,LAKI-LAKI,1,ORANG,2019
232,32,JAWA BARAT,3272,KOTA SUKABUMI,5-14,PEREMPUAN,1,ORANG,2019
233,32,JAWA BARAT,3272,KOTA SUKABUMI,15-19,LAKI-LAKI,2,ORANG,2019
234,32,JAWA BARAT,3272,KOTA SUKABUMI,15-19,PEREMPUAN,2,ORANG,2019
235,32,JAWA BARAT,3272,KOTA SUKABUMI,20-24,LAKI-LAKI,6,ORANG,2019
236,32,JAWA BARAT,3272,KOTA SUKABUMI,20-24,PEREMPUAN,3,ORANG,2019
237,32,JAWA BARAT,3272,KOTA SUKABUMI,25-49,LAKI-LAKI,20,ORANG,2019
238,32,JAWA BARAT,3272,KOTA SUKABUMI,25-49,PEREMPUAN,17,ORANG,2019
239,32,JAWA BARAT,3272,KOTA SUKABUMI,≥50,LAKI-LAKI,2,ORANG,2019
240,32,JAWA BARAT,3272,KOTA SUKABUMI,≥50,PEREMPUAN,1,ORANG,2019
241,32,JAWA BARAT,3273,KOTA BANDUNG,0-4,LAKI-LAKI,1,ORANG,2019
242,32,JAWA BARAT,3273,KOTA BANDUNG,0-4,PEREMPUAN,2,ORANG,2019
243,32,JAWA BARAT,3273,KOTA BANDUNG,5-14,LAKI-LAKI,1,ORANG,2019
244,32,JAWA BARAT,3273,KOTA BANDUNG,5-14,PEREMPUAN,1,ORANG,2019
245,32,JAWA BARAT,3273,KOTA BANDUNG,15-19,LAKI-LAKI,7,ORANG,2019
246,32,JAWA BARAT,3273,KOTA BANDUNG,15-19,PEREMPUAN,0,ORANG,2019
247,32,JAWA BARAT,3273,KOTA BANDUNG,20-24,LAKI-LAKI,53,ORANG,2019
248,32,JAWA BARAT,3273,KOTA BANDUNG,20-24,PEREMPUAN,13,ORANG,2019
249,32,JAWA BARAT,3273,KOTA BANDUNG,25-49,LAKI-LAKI,194,ORANG,2019
250,32,JAWA BARAT,3273,KOTA BANDUNG,25-49,PEREMPUAN,55,ORANG,2019
251,32,JAWA BARAT,3273,KOTA BANDUNG,≥50,LAKI-LAKI,26,ORANG,2019
252,32,JAWA BARAT,3273,KOTA BANDUNG,≥50,PEREMPUAN,4,ORANG,2019
253,32,JAWA BARAT,3274,KOTA CIREBON,0-4,LAKI-LAKI,3,ORANG,2019
254,32,JAWA BARAT,3274,KOTA CIREBON,0-4,PEREMPUAN,0,ORANG,2019
255,32,JAWA BARAT,3274,KOTA CIREBON,5-14,LAKI-LAKI,2,ORANG,2019
256,32,JAWA BARAT,3274,KOTA CIREBON,5-14,PEREMPUAN,0,ORANG,2019
257,32,JAWA BARAT,3274,KOTA CIREBON,15-19,LAKI-LAKI,3,ORANG,2019
258,32,JAWA BARAT,3274,KOTA CIREBON,15-19,PEREMPUAN,0,ORANG,2019
