id,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,persentase_peserta_kb_pasca_bersalin,satuan,tahun
68,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOP,0.0,PERSEN,2019
69,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOW,1.08,PERSEN,2019
70,JAWA BARAT,3210,KABUPATEN MAJALENGKA,IMPLAN,3.29,PERSEN,2019
71,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONDOM,1.3,PERSEN,2019
72,JAWA BARAT,3211,KABUPATEN SUMEDANG,SUNTIK,66.0,PERSEN,2019
73,JAWA BARAT,3211,KABUPATEN SUMEDANG,PIL,13.7,PERSEN,2019
74,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKDR,10.9,PERSEN,2019
75,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOP,0.09,PERSEN,2019
76,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOW,1.04,PERSEN,2019
77,JAWA BARAT,3211,KABUPATEN SUMEDANG,IMPLAN,6.99,PERSEN,2019
78,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONDOM,1.5,PERSEN,2019
79,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SUNTIK,74.9,PERSEN,2019
80,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PIL,16.9,PERSEN,2019
81,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKDR,0.8,PERSEN,2019
82,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOP,0.03,PERSEN,2019
83,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOW,0.65,PERSEN,2019
84,JAWA BARAT,3212,KABUPATEN INDRAMAYU,IMPLAN,5.21,PERSEN,2019
85,JAWA BARAT,3213,KABUPATEN SUBANG,KONDOM,2.8,PERSEN,2019
86,JAWA BARAT,3213,KABUPATEN SUBANG,SUNTIK,59.4,PERSEN,2019
87,JAWA BARAT,3213,KABUPATEN SUBANG,PIL,26.8,PERSEN,2019
88,JAWA BARAT,3213,KABUPATEN SUBANG,AKDR,5.2,PERSEN,2019
89,JAWA BARAT,3213,KABUPATEN SUBANG,MOP,0.88,PERSEN,2019
90,JAWA BARAT,3213,KABUPATEN SUBANG,MOW,0.31,PERSEN,2019
91,JAWA BARAT,3213,KABUPATEN SUBANG,IMPLAN,4.62,PERSEN,2019
92,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONDOM,2.2,PERSEN,2019
93,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SUNTIK,65.3,PERSEN,2019
94,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PIL,19.1,PERSEN,2019
95,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AKDR,6.4,PERSEN,2019
96,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MOP,0.17,PERSEN,2019
97,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MOW,1.16,PERSEN,2019
98,JAWA BARAT,3214,KABUPATEN PURWAKARTA,IMPLAN,5.67,PERSEN,2019
99,JAWA BARAT,3215,KABUPATEN KARAWANG,KONDOM,0.8,PERSEN,2019
100,JAWA BARAT,3215,KABUPATEN KARAWANG,SUNTIK,70.0,PERSEN,2019
101,JAWA BARAT,3215,KABUPATEN KARAWANG,PIL,21.0,PERSEN,2019
102,JAWA BARAT,3215,KABUPATEN KARAWANG,AKDR,2.7,PERSEN,2019
103,JAWA BARAT,3215,KABUPATEN KARAWANG,MOP,0.0,PERSEN,2019
104,JAWA BARAT,3215,KABUPATEN KARAWANG,MOW,1.26,PERSEN,2019
105,JAWA BARAT,3215,KABUPATEN KARAWANG,IMPLAN,4.15,PERSEN,2019
106,JAWA BARAT,3216,KABUPATEN BEKASI,KONDOM,5.9,PERSEN,2019
107,JAWA BARAT,3216,KABUPATEN BEKASI,SUNTIK,56.4,PERSEN,2019
108,JAWA BARAT,3216,KABUPATEN BEKASI,PIL,25.1,PERSEN,2019
109,JAWA BARAT,3216,KABUPATEN BEKASI,AKDR,4.4,PERSEN,2019
110,JAWA BARAT,3216,KABUPATEN BEKASI,MOP,0.19,PERSEN,2019
111,JAWA BARAT,3216,KABUPATEN BEKASI,MOW,0.84,PERSEN,2019
112,JAWA BARAT,3216,KABUPATEN BEKASI,IMPLAN,7.14,PERSEN,2019
113,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONDOM,1.5,PERSEN,2019
114,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SUNTIK,62.4,PERSEN,2019
115,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PIL,19.3,PERSEN,2019
116,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AKDR,8.3,PERSEN,2019
117,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MOP,0.0,PERSEN,2019
118,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MOW,1.03,PERSEN,2019
119,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,IMPLAN,7.39,PERSEN,2019
120,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONDOM,1.7,PERSEN,2019
121,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SUNTIK,69.9,PERSEN,2019
122,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PIL,15.4,PERSEN,2019
123,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKDR,5.8,PERSEN,2019
124,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MOP,0.0,PERSEN,2019
125,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MOW,0.51,PERSEN,2019
126,JAWA BARAT,3218,KABUPATEN PANGANDARAN,IMPLAN,6.57,PERSEN,2019
127,JAWA BARAT,3271,KOTA BOGOR,KONDOM,4.9,PERSEN,2019
