id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sektor,jumlah_tpm,satuan,tahun
52,32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1433,UNIT,2019
53,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,JASA BOGA,146,UNIT,2019
54,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH MAKAN/RESTORAN,521,UNIT,2019
55,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEPOT AIR MINUM (DAM),380,UNIT,2019
56,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1876,UNIT,2019
57,32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA BOGA,0,UNIT,2019
58,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH MAKAN/RESTORAN,680,UNIT,2019
59,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEPOT AIR MINUM (DAM),784,UNIT,2019
60,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,592,UNIT,2019
61,32,JAWA BARAT,3216,KABUPATEN BEKASI,JASA BOGA,353,UNIT,2019
62,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH MAKAN/RESTORAN,1418,UNIT,2019
63,32,JAWA BARAT,3216,KABUPATEN BEKASI,DEPOT AIR MINUM (DAM),1538,UNIT,2019
64,32,JAWA BARAT,3216,KABUPATEN BEKASI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,4005,UNIT,2019
65,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA BOGA,489,UNIT,2019
66,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH MAKAN/RESTORAN,593,UNIT,2019
67,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEPOT AIR MINUM (DAM),762,UNIT,2019
68,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,2674,UNIT,2019
69,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA BOGA,49,UNIT,2019
70,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH MAKAN/RESTORAN,54,UNIT,2019
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEPOT AIR MINUM (DAM),54,UNIT,2019
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,278,UNIT,2019
73,32,JAWA BARAT,3271,KOTA BOGOR,JASA BOGA,282,UNIT,2019
74,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH MAKAN/RESTORAN,846,UNIT,2019
75,32,JAWA BARAT,3271,KOTA BOGOR,DEPOT AIR MINUM (DAM),273,UNIT,2019
76,32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,2561,UNIT,2019
77,32,JAWA BARAT,3272,KOTA SUKABUMI,JASA BOGA,14,UNIT,2019
78,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH MAKAN/RESTORAN,27,UNIT,2019
79,32,JAWA BARAT,3272,KOTA SUKABUMI,DEPOT AIR MINUM (DAM),93,UNIT,2019
80,32,JAWA BARAT,3272,KOTA SUKABUMI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,503,UNIT,2019
81,32,JAWA BARAT,3273,KOTA BANDUNG,JASA BOGA,277,UNIT,2019
82,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH MAKAN/RESTORAN,1125,UNIT,2019
83,32,JAWA BARAT,3273,KOTA BANDUNG,DEPOT AIR MINUM (DAM),798,UNIT,2019
84,32,JAWA BARAT,3273,KOTA BANDUNG,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1881,UNIT,2019
85,32,JAWA BARAT,3274,KOTA CIREBON,JASA BOGA,55,UNIT,2019
86,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH MAKAN/RESTORAN,228,UNIT,2019
87,32,JAWA BARAT,3274,KOTA CIREBON,DEPOT AIR MINUM (DAM),130,UNIT,2019
88,32,JAWA BARAT,3274,KOTA CIREBON,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,760,UNIT,2019
89,32,JAWA BARAT,3275,KOTA BEKASI,JASA BOGA,187,UNIT,2019
90,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH MAKAN/RESTORAN,1477,UNIT,2019
91,32,JAWA BARAT,3275,KOTA BEKASI,DEPOT AIR MINUM (DAM),986,UNIT,2019
92,32,JAWA BARAT,3275,KOTA BEKASI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1296,UNIT,2019
93,32,JAWA BARAT,3276,KOTA DEPOK,JASA BOGA,233,UNIT,2019
94,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH MAKAN/RESTORAN,1403,UNIT,2019
95,32,JAWA BARAT,3276,KOTA DEPOK,DEPOT AIR MINUM (DAM),476,UNIT,2019
96,32,JAWA BARAT,3276,KOTA DEPOK,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,397,UNIT,2019
97,32,JAWA BARAT,3277,KOTA CIMAHI,JASA BOGA,161,UNIT,2019
98,32,JAWA BARAT,3277,KOTA CIMAHI,RUMAH MAKAN/RESTORAN,266,UNIT,2019
99,32,JAWA BARAT,3277,KOTA CIMAHI,DEPOT AIR MINUM (DAM),292,UNIT,2019
100,32,JAWA BARAT,3277,KOTA CIMAHI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1911,UNIT,2019
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,JASA BOGA,63,UNIT,2019
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUMAH MAKAN/RESTORAN,126,UNIT,2019
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,DEPOT AIR MINUM (DAM),324,UNIT,2019
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1725,UNIT,2019
105,32,JAWA BARAT,3279,KOTA BANJAR,JASA BOGA,19,UNIT,2019
106,32,JAWA BARAT,3279,KOTA BANJAR,RUMAH MAKAN/RESTORAN,246,UNIT,2019
107,32,JAWA BARAT,3279,KOTA BANJAR,DEPOT AIR MINUM (DAM),118,UNIT,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,491,UNIT,2019
