id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penyebab_kematian,jumlah_kematian,satuan,tahun
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIARE,0,ORANG,2019
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MALARIA,0,ORANG,2019
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TETANUS,0,ORANG,2019
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KELAINAN SARAF,0,ORANG,2019
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KELAINAN SALURAN CERNA,2,ORANG,2019
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAIN-LAIN,20,ORANG,2019
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PNEUMONIA,2,ORANG,2019
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIARE,3,ORANG,2019
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MALARIA,0,ORANG,2019
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TETANUS,0,ORANG,2019
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KELAINAN SARAF,0,ORANG,2019
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KELAINAN SALURAN CERNA,1,ORANG,2019
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAIN-LAIN,13,ORANG,2019
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,PNEUMONIA,3,ORANG,2019
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIARE,0,ORANG,2019
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,MALARIA,0,ORANG,2019
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,TETANUS,0,ORANG,2019
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,KELAINAN SARAF,0,ORANG,2019
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,KELAINAN SALURAN CERNA,2,ORANG,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAIN-LAIN,13,ORANG,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PNEUMONIA,4,ORANG,2019
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIARE,2,ORANG,2019
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MALARIA,0,ORANG,2019
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TETANUS,0,ORANG,2019
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KELAINAN SARAF,1,ORANG,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KELAINAN SALURAN CERNA,1,ORANG,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAIN-LAIN,4,ORANG,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PNEUMONIA,9,ORANG,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIARE,6,ORANG,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MALARIA,0,ORANG,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TETANUS,0,ORANG,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KELAINAN SARAF,1,ORANG,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KELAINAN SALURAN CERNA,3,ORANG,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAIN-LAIN,26,ORANG,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PNEUMONIA,2,ORANG,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIARE,3,ORANG,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MALARIA,0,ORANG,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TETANUS,0,ORANG,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KELAINAN SARAF,0,ORANG,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KELAINAN SALURAN CERNA,0,ORANG,2019
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAIN-LAIN,13,ORANG,2019
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,PNEUMONIA,1,ORANG,2019
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIARE,0,ORANG,2019
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,MALARIA,0,ORANG,2019
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,TETANUS,0,ORANG,2019
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,KELAINAN SARAF,0,ORANG,2019
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,KELAINAN SALURAN CERNA,0,ORANG,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAIN-LAIN,4,ORANG,2019
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PNEUMONIA,3,ORANG,2019
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIARE,1,ORANG,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MALARIA,0,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TETANUS,0,ORANG,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KELAINAN SARAF,0,ORANG,2019
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KELAINAN SALURAN CERNA,0,ORANG,2019
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAIN-LAIN,19,ORANG,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PNEUMONIA,2,ORANG,2019
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIARE,1,ORANG,2019
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MALARIA,0,ORANG,2019
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TETANUS,0,ORANG,2019
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KELAINAN SARAF,0,ORANG,2019
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KELAINAN SALURAN CERNA,0,ORANG,2019
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAIN-LAIN,20,ORANG,2019
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,PNEUMONIA,0,ORANG,2019
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIARE,0,ORANG,2019
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,MALARIA,0,ORANG,2019
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,TETANUS,0,ORANG,2019
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,KELAINAN SARAF,0,ORANG,2019
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,KELAINAN SALURAN CERNA,0,ORANG,2019
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAIN-LAIN,0,ORANG,2019
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PNEUMONIA,2,ORANG,2019
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIARE,0,ORANG,2019
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MALARIA,0,ORANG,2019
