id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kontrasepsi,persentase_peserta_kb,satuan,tahun
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SUNTIK,68.3,PERSEN,2019
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PIL,13.8,PERSEN,2019
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKDR,4.7,PERSEN,2019
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOP,0.9,PERSEN,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MOW,4.9,PERSEN,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,IMPLAN,6.3,PERSEN,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KONDOM,0.9,PERSEN,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SUNTIK,62.6,PERSEN,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PIL,15.6,PERSEN,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKDR,9.5,PERSEN,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOP,0.2,PERSEN,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MOW,4.0,PERSEN,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,IMPLAN,7.1,PERSEN,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KONDOM,1.7,PERSEN,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SUNTIK,56.4,PERSEN,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PIL,27.3,PERSEN,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,AKDR,3.8,PERSEN,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOP,0.6,PERSEN,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MOW,2.3,PERSEN,2019
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,IMPLAN,7.8,PERSEN,2019
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,KONDOM,2.2,PERSEN,2019
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,SUNTIK,53.3,PERSEN,2019
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,PIL,23.5,PERSEN,2019
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,AKDR,9.8,PERSEN,2019
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,MOP,0.8,PERSEN,2019
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,MOW,3.3,PERSEN,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,IMPLAN,7.1,PERSEN,2019
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KONDOM,1.9,PERSEN,2019
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SUNTIK,49.4,PERSEN,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PIL,26.5,PERSEN,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AKDR,10.7,PERSEN,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MOP,0.8,PERSEN,2019
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MOW,2.7,PERSEN,2019
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,IMPLAN,8.0,PERSEN,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KONDOM,2.0,PERSEN,2019
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SUNTIK,56.4,PERSEN,2019
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PIL,25.0,PERSEN,2019
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKDR,5.8,PERSEN,2019
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MOP,0.6,PERSEN,2019
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MOW,2.6,PERSEN,2019
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,IMPLAN,7.6,PERSEN,2019
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,KONDOM,3.8,PERSEN,2019
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,SUNTIK,53.1,PERSEN,2019
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,PIL,29.8,PERSEN,2019
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,AKDR,5.6,PERSEN,2019
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,MOP,0.7,PERSEN,2019
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,MOW,1.6,PERSEN,2019
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,IMPLAN,5.4,PERSEN,2019
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONDOM,0.8,PERSEN,2019
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SUNTIK,60.2,PERSEN,2019
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PIL,19.2,PERSEN,2019
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AKDR,11.0,PERSEN,2019
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MOP,0.6,PERSEN,2019
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MOW,2.2,PERSEN,2019
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,IMPLAN,6.0,PERSEN,2019
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONDOM,2.1,PERSEN,2019
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SUNTIK,54.0,PERSEN,2019
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PIL,24.6,PERSEN,2019
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKDR,7.4,PERSEN,2019
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MOP,0.3,PERSEN,2019
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MOW,3.1,PERSEN,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,IMPLAN,8.4,PERSEN,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,KONDOM,3.5,PERSEN,2019
128,32,JAWA BARAT,3271,KOTA BOGOR,SUNTIK,49.9,PERSEN,2019
129,32,JAWA BARAT,3271,KOTA BOGOR,PIL,17.5,PERSEN,2019
130,32,JAWA BARAT,3271,KOTA BOGOR,AKDR,19.5,PERSEN,2019
131,32,JAWA BARAT,3271,KOTA BOGOR,MOP,0.4,PERSEN,2019
132,32,JAWA BARAT,3271,KOTA BOGOR,MOW,3.5,PERSEN,2019
133,32,JAWA BARAT,3271,KOTA BOGOR,IMPLAN,5.7,PERSEN,2019
134,32,JAWA BARAT,3272,KOTA SUKABUMI,KONDOM,2.9,PERSEN,2019
135,32,JAWA BARAT,3272,KOTA SUKABUMI,SUNTIK,47.0,PERSEN,2019
136,32,JAWA BARAT,3272,KOTA SUKABUMI,PIL,22.6,PERSEN,2019
137,32,JAWA BARAT,3272,KOTA SUKABUMI,AKDR,13.8,PERSEN,2019
138,32,JAWA BARAT,3272,KOTA SUKABUMI,MOP,0.4,PERSEN,2019
139,32,JAWA BARAT,3272,KOTA SUKABUMI,MOW,3.0,PERSEN,2019
140,32,JAWA BARAT,3272,KOTA SUKABUMI,IMPLAN,10.3,PERSEN,2019
141,32,JAWA BARAT,3273,KOTA BANDUNG,KONDOM,2.6,PERSEN,2019
142,32,JAWA BARAT,3273,KOTA BANDUNG,SUNTIK,42.0,PERSEN,2019
143,32,JAWA BARAT,3273,KOTA BANDUNG,PIL,15.3,PERSEN,2019
144,32,JAWA BARAT,3273,KOTA BANDUNG,AKDR,33.6,PERSEN,2019
