id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sektor,persentase_tpm,satuan,tahun
52,32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,548,PERSEN,2019
53,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,JASA BOGA,555,PERSEN,2019
54,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH MAKAN/RESTORAN,474,PERSEN,2019
55,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEPOT AIR MINUM (DAM),574,PERSEN,2019
56,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,310,PERSEN,2019
57,32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA BOGA,0,PERSEN,2019
58,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH MAKAN/RESTORAN,1000,PERSEN,2019
59,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEPOT AIR MINUM (DAM),1000,PERSEN,2019
60,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1000,PERSEN,2019
61,32,JAWA BARAT,3216,KABUPATEN BEKASI,JASA BOGA,629,PERSEN,2019
62,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH MAKAN/RESTORAN,666,PERSEN,2019
63,32,JAWA BARAT,3216,KABUPATEN BEKASI,DEPOT AIR MINUM (DAM),603,PERSEN,2019
64,32,JAWA BARAT,3216,KABUPATEN BEKASI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,552,PERSEN,2019
65,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA BOGA,352,PERSEN,2019
66,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH MAKAN/RESTORAN,474,PERSEN,2019
67,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEPOT AIR MINUM (DAM),551,PERSEN,2019
68,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,235,PERSEN,2019
69,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA BOGA,122,PERSEN,2019
70,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH MAKAN/RESTORAN,426,PERSEN,2019
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEPOT AIR MINUM (DAM),130,PERSEN,2019
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,259,PERSEN,2019
73,32,JAWA BARAT,3271,KOTA BOGOR,JASA BOGA,1000,PERSEN,2019
74,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH MAKAN/RESTORAN,521,PERSEN,2019
75,32,JAWA BARAT,3271,KOTA BOGOR,DEPOT AIR MINUM (DAM),766,PERSEN,2019
76,32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,560,PERSEN,2019
