id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ber_phbs,satuan,tahun
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,168236,RUMAH TANGGA,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,323116,RUMAH TANGGA,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,572635,RUMAH TANGGA,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,137766,RUMAH TANGGA,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,113791,RUMAH TANGGA,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,125767,RUMAH TANGGA,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,31852,RUMAH TANGGA,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,212765,RUMAH TANGGA,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,45650,RUMAH TANGGA,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,60283,RUMAH TANGGA,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,335852,RUMAH TANGGA,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,57904,RUMAH TANGGA,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,66086,RUMAH TANGGA,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,44260,RUMAH TANGGA,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,604620,RUMAH TANGGA,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,320009,RUMAH TANGGA,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,336601,RUMAH TANGGA,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,190334,RUMAH TANGGA,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,304838,RUMAH TANGGA,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,213654,RUMAH TANGGA,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,109471,RUMAH TANGGA,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,175315,RUMAH TANGGA,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,237278,RUMAH TANGGA,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,206356,RUMAH TANGGA,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,222714,RUMAH TANGGA,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,43507,RUMAH TANGGA,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,139488,RUMAH TANGGA,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,160076,RUMAH TANGGA,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,331477,RUMAH TANGGA,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,589388,RUMAH TANGGA,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,137766,RUMAH TANGGA,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,70183,RUMAH TANGGA,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,127885,RUMAH TANGGA,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,43631,RUMAH TANGGA,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,190370,RUMAH TANGGA,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,42190,RUMAH TANGGA,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,60283,RUMAH TANGGA,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,320244,RUMAH TANGGA,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,58510,RUMAH TANGGA,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,65362,RUMAH TANGGA,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,58502,RUMAH TANGGA,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,570448,RUMAH TANGGA,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,362219,RUMAH TANGGA,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,402092,RUMAH TANGGA,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,195419,RUMAH TANGGA,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,335412,RUMAH TANGGA,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,145089,RUMAH TANGGA,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,86020,RUMAH TANGGA,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,181974,RUMAH TANGGA,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,23969,RUMAH TANGGA,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,295839,RUMAH TANGGA,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,169478,RUMAH TANGGA,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,64961,RUMAH TANGGA,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,284425,RUMAH TANGGA,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,164419,RUMAH TANGGA,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,331477,RUMAH TANGGA,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,621474,RUMAH TANGGA,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,219561,RUMAH TANGGA,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,93818,RUMAH TANGGA,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,135463,RUMAH TANGGA,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,54842,RUMAH TANGGA,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,83111,RUMAH TANGGA,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,44311,RUMAH TANGGA,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,34823,RUMAH TANGGA,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,321458,RUMAH TANGGA,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,60240,RUMAH TANGGA,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70975,RUMAH TANGGA,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,46676,RUMAH TANGGA,2020
