id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penyebab_kematian,jumlah_kematian,satuan,tahun
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEMAM,1,ORANG,2019
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIFTERI,0,ORANG,2019
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAIN-LAIN,9,ORANG,2019
29,32,JAWA BARAT,3205,KABUPATEN GARUT,PNEUMONIA,0,ORANG,2019
30,32,JAWA BARAT,3205,KABUPATEN GARUT,DIARE,0,ORANG,2019
31,32,JAWA BARAT,3205,KABUPATEN GARUT,MALARIA,0,ORANG,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,CAMPAK,0,ORANG,2019
33,32,JAWA BARAT,3205,KABUPATEN GARUT,DEMAM,0,ORANG,2019
34,32,JAWA BARAT,3205,KABUPATEN GARUT,DIFTERI,0,ORANG,2019
35,32,JAWA BARAT,3205,KABUPATEN GARUT,LAIN-LAIN,1,ORANG,2019
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PNEUMONIA,0,ORANG,2019
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIARE,0,ORANG,2019
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MALARIA,0,ORANG,2019
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CAMPAK,0,ORANG,2019
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEMAM,2,ORANG,2019
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIFTERI,0,ORANG,2019
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAIN-LAIN,13,ORANG,2019
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PNEUMONIA,0,ORANG,2019
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIARE,0,ORANG,2019
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MALARIA,0,ORANG,2019
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CAMPAK,0,ORANG,2019
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEMAM,0,ORANG,2019
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIFTERI,0,ORANG,2019
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAIN-LAIN,16,ORANG,2019
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PNEUMONIA,0,ORANG,2019
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIARE,0,ORANG,2019
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MALARIA,0,ORANG,2019
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CAMPAK,0,ORANG,2019
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEMAM,0,ORANG,2019
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIFTERI,0,ORANG,2019
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAIN-LAIN,2,ORANG,2019
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,PNEUMONIA,1,ORANG,2019
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIARE,0,ORANG,2019
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,MALARIA,0,ORANG,2019
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,CAMPAK,0,ORANG,2019
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,DEMAM,0,ORANG,2019
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIFTERI,0,ORANG,2019
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAIN-LAIN,4,ORANG,2019
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PNEUMONIA,0,ORANG,2019
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIARE,0,ORANG,2019
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MALARIA,0,ORANG,2019
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CAMPAK,0,ORANG,2019
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DEMAM,0,ORANG,2019
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIFTERI,0,ORANG,2019
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAIN-LAIN,5,ORANG,2019
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PNEUMONIA,0,ORANG,2019
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIARE,0,ORANG,2019
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MALARIA,0,ORANG,2019
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CAMPAK,0,ORANG,2019
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DEMAM,0,ORANG,2019
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIFTERI,0,ORANG,2019
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAIN-LAIN,10,ORANG,2019
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PNEUMONIA,0,ORANG,2019
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIARE,0,ORANG,2019
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MALARIA,0,ORANG,2019
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CAMPAK,0,ORANG,2019
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DEMAM,1,ORANG,2019
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIFTERI,0,ORANG,2019
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAIN-LAIN,7,ORANG,2019
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,PNEUMONIA,0,ORANG,2019
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIARE,0,ORANG,2019
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,MALARIA,0,ORANG,2019
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,CAMPAK,0,ORANG,2019
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,DEMAM,0,ORANG,2019
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIFTERI,0,ORANG,2019
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAIN-LAIN,3,ORANG,2019
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PNEUMONIA,1,ORANG,2019
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIARE,1,ORANG,2019
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MALARIA,0,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CAMPAK,0,ORANG,2019
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DEMAM,0,ORANG,2019
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIFTERI,0,ORANG,2019
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAIN-LAIN,8,ORANG,2019
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PNEUMONIA,0,ORANG,2019
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIARE,0,ORANG,2019
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MALARIA,0,ORANG,2019
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CAMPAK,0,ORANG,2019
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DEMAM,0,ORANG,2019
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIFTERI,0,ORANG,2019
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAIN-LAIN,4,ORANG,2019
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,PNEUMONIA,0,ORANG,2019
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIARE,0,ORANG,2019
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,MALARIA,0,ORANG,2019
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,CAMPAK,0,ORANG,2019
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,DEMAM,0,ORANG,2019
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIFTERI,0,ORANG,2019
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAIN-LAIN,0,ORANG,2019
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PNEUMONIA,3,ORANG,2019
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIARE,3,ORANG,2019
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MALARIA,0,ORANG,2019
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CAMPAK,0,ORANG,2019
