id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,jumlah_tempat_umum,satuan,tahun
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMP,144,UNIT,2018
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA,78,UNIT,2018
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PUSKESMAS,32,UNIT,2018
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH SAKIT UMUM,4,UNIT,2018
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HOTEL BINTANG,0,UNIT,2018
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HOTEL NON-BINTANG,6,UNIT,2018
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD,453,UNIT,2018
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,107,UNIT,2018
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA,74,UNIT,2018
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PUSKESMAS,35,UNIT,2018
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH SAKIT UMUM,3,UNIT,2018
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HOTEL BINTANG,7,UNIT,2018
77,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HOTEL NON-BINTANG,3,UNIT,2018
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD,639,UNIT,2018
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,148,UNIT,2018
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA,85,UNIT,2018
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PUSKESMAS,65,UNIT,2018
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH SAKIT UMUM,7,UNIT,2018
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HOTEL BINTANG,0,UNIT,2018
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HOTEL NON-BINTANG,18,UNIT,2018
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD,400,UNIT,2018
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMP,98,UNIT,2018
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA,90,UNIT,2018
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,PUSKESMAS,40,UNIT,2018
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT UMUM,9,UNIT,2018
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,HOTEL BINTANG,4,UNIT,2018
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,HOTEL NON-BINTANG,20,UNIT,2018
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD,326,UNIT,2018
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMP,97,UNIT,2018
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA,56,UNIT,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PUSKESMAS,20,UNIT,2018
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH SAKIT UMUM,10,UNIT,2018
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HOTEL BINTANG,11,UNIT,2018
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HOTEL NON-BINTANG,10,UNIT,2018
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD,418,UNIT,2018
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMP,45,UNIT,2018
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA,41,UNIT,2018
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PUSKESMAS,42,UNIT,2018
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH SAKIT UMUM,21,UNIT,2018
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HOTEL BINTANG,20,UNIT,2018
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HOTEL NON-BINTANG,11,UNIT,2018
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD,678,UNIT,2018
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMP,221,UNIT,2018
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA,168,UNIT,2018
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,PUSKESMAS,44,UNIT,2018
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH SAKIT UMUM,44,UNIT,2018
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,HOTEL BINTANG,15,UNIT,2018
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,HOTEL NON-BINTANG,3,UNIT,2018
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD,673,UNIT,2018
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMP,135,UNIT,2018
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA,87,UNIT,2018
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PUSKESMAS,32,UNIT,2018
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH SAKIT UMUM,4,UNIT,2018
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HOTEL BINTANG,8,UNIT,2018
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HOTEL NON-BINTANG,43,UNIT,2018
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD,234,UNIT,2018
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMP,56,UNIT,2018
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA,36,UNIT,2018
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PUSKESMAS,15,UNIT,2018
