id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kunjungan,jumlah_pengunjung,satuan,tahun
70,32,JAWA BARAT,3276,KOTA DEPOK,KF1,44900,ORANG,2019
71,32,JAWA BARAT,3276,KOTA DEPOK,KF2,44566,ORANG,2019
72,32,JAWA BARAT,3276,KOTA DEPOK,KF3,43843,ORANG,2019
73,32,JAWA BARAT,3277,KOTA CIMAHI,KF1,10748,ORANG,2019
74,32,JAWA BARAT,3277,KOTA CIMAHI,KF2,10524,ORANG,2019
75,32,JAWA BARAT,3277,KOTA CIMAHI,KF3,10177,ORANG,2019
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KF1,11697,ORANG,2019
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KF2,11663,ORANG,2019
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KF3,11618,ORANG,2019
79,32,JAWA BARAT,3279,KOTA BANJAR,KF1,3040,ORANG,2019
80,32,JAWA BARAT,3279,KOTA BANJAR,KF2,3036,ORANG,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,KF3,2970,ORANG,2019
