id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penyebab_kematian,jumlah_kematian,satuan,tahun
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TETANUS NEONATORUM,0,ORANG,2019
64,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SEPSIS,1,ORANG,2019
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KELAINAN BAWAAN,18,ORANG,2019
66,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAIN-LAIN,13,ORANG,2019
67,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BBLR,115,ORANG,2019
68,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ASFIKSIA,59,ORANG,2019
69,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TETANUS NEONATORUM,0,ORANG,2019
70,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SEPSIS,7,ORANG,2019
71,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KELAINAN BAWAAN,24,ORANG,2019
72,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAIN-LAIN,23,ORANG,2019
73,32,JAWA BARAT,3213,KABUPATEN SUBANG,BBLR,19,ORANG,2019
74,32,JAWA BARAT,3213,KABUPATEN SUBANG,ASFIKSIA,49,ORANG,2019
75,32,JAWA BARAT,3213,KABUPATEN SUBANG,TETANUS NEONATORUM,0,ORANG,2019
76,32,JAWA BARAT,3213,KABUPATEN SUBANG,SEPSIS,7,ORANG,2019
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,KELAINAN BAWAAN,15,ORANG,2019
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAIN-LAIN,16,ORANG,2019
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BBLR,19,ORANG,2019
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ASFIKSIA,9,ORANG,2019
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TETANUS NEONATORUM,0,ORANG,2019
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SEPSIS,4,ORANG,2019
83,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KELAINAN BAWAAN,12,ORANG,2019
84,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAIN-LAIN,10,ORANG,2019
85,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BBLR,65,ORANG,2019
86,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ASFIKSIA,37,ORANG,2019
87,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TETANUS NEONATORUM,0,ORANG,2019
88,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SEPSIS,2,ORANG,2019
89,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KELAINAN BAWAAN,17,ORANG,2019
90,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAIN-LAIN,13,ORANG,2019
91,32,JAWA BARAT,3216,KABUPATEN BEKASI,BBLR,8,ORANG,2019
92,32,JAWA BARAT,3216,KABUPATEN BEKASI,ASFIKSIA,16,ORANG,2019
93,32,JAWA BARAT,3216,KABUPATEN BEKASI,TETANUS NEONATORUM,0,ORANG,2019
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,SEPSIS,1,ORANG,2019
95,32,JAWA BARAT,3216,KABUPATEN BEKASI,KELAINAN BAWAAN,2,ORANG,2019
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAIN-LAIN,8,ORANG,2019
