kota_administrasi,nama_jalan,panjang_jalan,lebar_jalan,sistem,fungsi,status,nomor_jalan,suffix
jakarta timur,Pahlawan Kali Bata (Sebagian),975,12,Sekunder,Arteri,Propinsi,744,1
jakarta timur,Pahlawan Revolusi,1116,17,Sekunder,Arteri,Kota,7376,1
jakarta timur,Pahlawan Revolusi,2809,17,Sekunder,Arteri,Kota,7376,2
jakarta timur,Pemuda,3183,35,Sekunder,Arteri,Kota,64115,1
jakarta timur,Pemuda,1134,35,Sekunder,Arteri,Kota,64115,2
jakarta timur,Pemuda,3216,35,Sekunder,Arteri,Kota,64115,3
jakarta timur,Penggilingan Raya,599,9,Sekunder,Arteri,Kota,64115,1
jakarta timur,Penggilingan Raya,3651,9,Sekunder,Arteri,Kota,7437,2
jakarta timur,Pondok Gede Raya,800,9,Sekunder,Arteri,Kota,75425,0
jakarta timur,Pondok Gede Raya,160,20,Sekunder,Arteri,Kota,38994,1
jakarta timur,Pondok Gede Raya,800,20,Sekunder,Arteri,Kota,38994,2
jakarta timur,Pondok Gede Raya,1225,20,Sekunder,Arteri,Kota,38994,3
jakarta timur,Pondok Gede Raya,1065,20,Sekunder,Arteri,Kota,38994,4
jakarta timur,Pondok Kopi Raya,2275,6,Sekunder,Arteri,Kota,,0
jakarta timur,Pulo Gebang,4173,10,Sekunder,Arteri,Kota,43854,0
jakarta timur,Radar Auri,475,6,Sekunder,Arteri,Kota,,0
jakarta timur,Radin Inten 2,3531,18,Sekunder,Arteri,Kota,47052,0
jakarta timur,"Rajiman Widyodiningrat,Krt, Dr",3675,14,Sekunder,Arteri,Kota,44794,0
jakarta timur,Robusta,513,6,Sekunder,Arteri,Kota,,0
jakarta timur,"Rs. Soekanto, Jend.Pol",1425,20,Sekunder,Arteri,Kota,60674,1
jakarta timur,"Rs. Soekanto, Jend.Pol",500,20,Sekunder,Arteri,Kota,60674,2
jakarta timur,Sejajar Tol Cakung Sisi Timur,4000,7,Sekunder,Arteri,Kota,,0
jakarta timur,Sejajar Tol Cakung Sisi Barat,3975,6,Sekunder,Arteri,Kota,,0
jakarta timur,Sentra Primer Timur / Dr. Sumarmo,1850,14,Sekunder,Arteri,Kota,,0
jakarta timur,Setu Raya,2750,7,Sekunder,Arteri,Kota,66124,0
jakarta timur,Stasiun Cakung,450,7,Sekunder,Arteri,Kota,3920,0
jakarta timur,"Sugiono, Kol (Exs.Sawah Barat Raya)",2220,12,Sekunder,Arteri,Kota,12664,0
jakarta timur,Taman Bunga,500,6,Sekunder,Arteri,Kota,,0
jakarta timur,Tarum Barat Raya (Batas Dki),8810,9,Sekunder,Arteri,Kota,38605,0
jakarta timur,Tipar Cakung (Sebagian),2600,14,Sekunder,Arteri,Kota,5348,0
jakarta timur,Tmii 1,400,49,Sekunder,Arteri,Kota,90001,0
jakarta timur,Velodrome,238,15,Sekunder,Arteri,Kota,,0
jakarta timur,Alu Alu,845,7,Sekunder,Kolektor,Kota,64245,0
jakarta timur,Angkur,500,8,Sekunder,Kolektor,Kota,64014,0
jakarta timur,Anyelir,525,8,Sekunder,Kolektor,Kota,66142,0
jakarta timur,Arjuna 1,450,7,Sekunder,Kolektor,Kota,59636,0
jakarta timur,Asrama Haji,1600,12,Sekunder,Kolektor,Kota,58,0
jakarta timur,"Bading, H",450,7,Sekunder,Kolektor,Kota,12607,0
jakarta timur,Balai Pustaka (Hij),405,7,Sekunder,Kolektor,Kota,60316,0
jakarta timur,Balai Pustaka Barat,700,8,Sekunder,Kolektor,Kota,64114,0
jakarta timur,Balai Pustaka Timur,1047,15,Sekunder,Kolektor,Kota,64218,0
jakarta timur,Bambu Mas Raya,300,7,Sekunder,Kolektor,Kota,58942,0
jakarta timur,Bambu Mas Selatan,400,7,Sekunder,Kolektor,Kota,59,0
jakarta timur,Bangunan Barat,530,7,Sekunder,Kolektor,Kota,64408,0
jakarta timur,Bangunan Timur,1250,8,Sekunder,Kolektor,Kota,64339,0
jakarta timur,"Baping, H",1500,8,Sekunder,Kolektor,Kota,66179,0
jakarta timur,Baret Biru 3,265,7,Sekunder,Kolektor,Kota,52418,0
jakarta timur,Batu Ampar,1274,7,Sekunder,Kolektor,Kota,63204,0
jakarta timur,Batu Ampar 1,1785,7,Sekunder,Kolektor,Kota,63876,0
jakarta timur,Batu Ampar 3,1200,7,Sekunder,Kolektor,Kota,88676,0
jakarta timur,Budaya,525,7,Sekunder,Kolektor,Kota,63221,0
jakarta timur,Bujana Tirta  ,560,7,Sekunder,Kolektor,Kota,88189,0
jakarta timur,Bujana Tirta 4,320,7,Sekunder,Kolektor,Kota,64312,0
jakarta timur,Bulak Ringin,550,7,Sekunder,Kolektor,Kota,12604,0
jakarta timur,Bulak Sereh,500,7,Sekunder,Kolektor,Kota,156,0
jakarta timur,Buluh Perindu,475,7,Sekunder,Kolektor,Kota,912,0
jakarta timur,Bunga Rampai,2950,7,Sekunder,Kolektor,Kota,59869,0
jakarta timur,Bunga Rampai 6,300,7,Sekunder,Kolektor,Kota,59867,0
jakarta timur,Cawang Baru,964,8,Sekunder,Kolektor,Kota,3585,0
jakarta timur,Cawang Baru Tengah,708,7,Sekunder,Kolektor,Kota,3587,0
jakarta timur,Cawang Baru Utara,283,7,Sekunder,Kolektor,Kota,58149,0
jakarta timur,Centex,1000,7,Sekunder,Kolektor,Kota,201,0
jakarta timur,Cibubur 1,400,7,Sekunder,Kolektor,Kota,11366,0
jakarta timur,Cibubur 2,633,7,Sekunder,Kolektor,Kota,7982,0
jakarta timur,Cipinang ,250,7,Sekunder,Kolektor,Kota,59742,0
jakarta timur,Cipinang Asem ,1100,7,Sekunder,Kolektor,Kota,223,0
jakarta timur,Cipinang Baru Bunder,935,14,Sekunder,Kolektor,Kota,64222,0
jakarta timur,Cipinang Baru Timur,400,7,Sekunder,Kolektor,Kota,839,0
jakarta timur,Cipinang Baru Utara,680,7,Sekunder,Kolektor,Kota,841,0
jakarta timur,Cipinang Besar,680,8,Sekunder,Kolektor,Kota,7094,0
jakarta timur,Cipinang Cempedak,200,7,Sekunder,Kolektor,Kota,3806,0
jakarta timur,Cipinang Cempedak 1,680,7,Sekunder,Kolektor,Kota,3595,0
jakarta timur,Cipinang Cempedak 2,750,7,Sekunder,Kolektor,Kota,3596,0
jakarta timur,Cipinang Cempedak 3,310,7,Sekunder,Kolektor,Kota,3597,0
jakarta timur,Cipinang Cempedak 4,900,7,Sekunder,Kolektor,Kota,58060,0
jakarta timur,Cipinang Kebembem,675,8,Sekunder,Kolektor,Kota,64223,0
jakarta timur,Cipinang Kebembem 1,600,7,Sekunder,Kolektor,Kota,22404,0
jakarta timur,Cipinang Kebembem 3,600,7,Sekunder,Kolektor,Kota,64207,0
jakarta timur,Cipinang Muara,1665,7,Sekunder,Kolektor,Kota,6931,0
jakarta timur,Cipinang Muara,185,7,Sekunder,Kolektor,Kota,6931,0
jakarta timur,Cipinang Muara 1,1650,7,Sekunder,Kolektor,Kota,75424,0
jakarta timur,Cipinang Raya ,1475,12,Sekunder,Kolektor,Kota,3600,0
jakarta timur,Condet Tengah Raya ,1500,9,Sekunder,Kolektor,Kota,88673,0
jakarta timur,Curug Antilope,970,8,Sekunder,Kolektor,Kota,46647,0
jakarta timur,Delima,1100,7,Sekunder,Kolektor,Kota,1356,0
jakarta timur,Duren Sawit Raya,1560,9,Sekunder,Kolektor,Kota,59870,0
jakarta timur,Dwikora,2400,7,Sekunder,Kolektor,Kota,244,0
jakarta timur,Flamboyan,150,7,Sekunder,Kolektor,Kota,66116,0
jakarta timur,Gabus Raya,134,7,Sekunder,Kolektor,Kota,64884,0
jakarta timur,Gading Raya,400,7,Sekunder,Kolektor,Kota,115,0
jakarta timur,Gongseng Raya,896,8,Sekunder,Kolektor,Kota,66001,0
jakarta timur,Gurame,305,7,Sekunder,Kolektor,Kota,23944,0
jakarta timur,Halim Golf Course,2500,24,Sekunder,Kolektor,Kota,271,0
jakarta timur,Hasan. H,1275,7,Sekunder,Kolektor,Kota,4198,0
jakarta timur,Hiu,120,7,Sekunder,Kolektor,Kota,59598,0
jakarta timur,Inpres Kampung Tengah,427,7,Sekunder,Kolektor,Kota,62927,0
jakarta timur,Janur 1,176,7,Sekunder,Kolektor,Kota,58361,0
jakarta timur,Janur 2,475,7,Sekunder,Kolektor,Kota,60523,0
jakarta timur,Jatayu,220,7,Sekunder,Kolektor,Kota,47307,0
jakarta timur,Jatinegara Barat 1,616,8,Sekunder,Kolektor,Kota,3641,0
jakarta timur,Jatinegara Barat 3,230,7,Sekunder,Kolektor,Kota,3643,0
jakarta timur,Jatinegara Kaum,650,7,Sekunder,Kolektor,Kota,22806,0
jakarta timur,Jatinegara Timur 2,300,7,Sekunder,Kolektor,Kota,58674,0
jakarta timur,Jatinegara Timur 4,525,7,Sekunder,Kolektor,Kota,58805,0
jakarta timur,Jengki,1070,7,Sekunder,Kolektor,Kota,46602,0
jakarta timur,Jengki Utara,700,9,Sekunder,Kolektor,Kota,398,0
jakarta timur,Kalisari,2000,9,Sekunder,Kolektor,Kota,65286,0
jakarta timur,Kalisari 3,1000,7,Sekunder,Kolektor,Kota,88225,0
jakarta timur,Kalisari Lapan ,885,7,Sekunder,Kolektor,Kota,4078,0
jakarta timur,Kayu Jati,368,7,Sekunder,Kolektor,Kota,64108,0
jakarta timur,Kayu Manis 10,475,7,Sekunder,Kolektor,Kota,12608,0
jakarta timur,Kayu Manis 7,480,7,Sekunder,Kolektor,Kota,3666,0
jakarta timur,Kayu Manis 8,1600,7,Sekunder,Kolektor,Kota,3667,0
jakarta timur,Kayu Manis Barat,1691,7,Sekunder,Kolektor,Kota,3368,0
jakarta timur,Kayu Manis Timur,1464,7,Sekunder,Kolektor,Kota,4785,0
jakarta timur,Kayu Mas,825,7,Sekunder,Kolektor,Kota,64135,0
jakarta timur,Kayu Mas Tengah,600,7,Sekunder,Kolektor,Kota,93639,0
jakarta timur,Kayu Mas Utara,300,7,Sekunder,Kolektor,Kota,24359,0
jakarta timur,Kayu Putih 3,875,7,Sekunder,Kolektor,Kota,83343,0
jakarta timur,Kayu Putih Selatan ,850,7,Sekunder,Kolektor,Kota,64091,0
jakarta timur,Kayu Putih Tengah,875,8,Sekunder,Kolektor,Kota,64117,0
jakarta timur,Kayu Putih Timur,1040,7,Sekunder,Kolektor,Kota,64139,0
jakarta timur,Kayu Putih Utara,675,7,Sekunder,Kolektor,Kota,23943,0
jakarta timur,Kayu Tinggi,2873,7,Sekunder,Kolektor,Kota,7536,0
jakarta timur,Kebon Kelapa,775,7,Sekunder,Kolektor,Kota,6765,0
jakarta timur,Kebon Nanas,1000,7,Sekunder,Kolektor,Kota,4696,0
jakarta timur,Kebon Nanas Selatan,625,7,Sekunder,Kolektor,Kota,4697,0
jakarta timur,Kedongdong,435,7,Sekunder,Kolektor,Kota,59600,0
jakarta timur,Kejaksaan,800,8,Sekunder,Kolektor,Kota,59486,0
jakarta timur,Kelapa Hijau 1,600,7,Sekunder,Kolektor,Kota,58796,0
jakarta timur,Kelapa Kopyor,1950,7,Sekunder,Kolektor,Kota,12813,0
jakarta timur,Kelapa Kuning 1,500,7,Sekunder,Kolektor,Kota,12610,0
jakarta timur,Kelapa Kuning Raya,1200,7,Sekunder,Kolektor,Kota,77484,0
jakarta timur,Kelapa Muda 1,525,7,Sekunder,Kolektor,Kota,12585,0
jakarta timur,Kelapa Sawit 1,459,7,Sekunder,Kolektor,Kota,3483,0
jakarta timur,Kelapa Sawit Raya,1000,7,Sekunder,Kolektor,Kota,77485,0
jakarta timur,Kesehatan,460,8,Sekunder,Kolektor,Kota,59893,0
jakarta timur,Kimia Farma Kelurahan,800,8,Sekunder,Kolektor,Kota,3486,0
jakarta timur,Kiwi Raya,700,12,Sekunder,Kolektor,Kota,66076,0
jakarta timur,Komarudin,400,7,Sekunder,Kolektor,Kota,43856,0
jakarta timur,Kramat Asem,743,7,Sekunder,Kolektor,Kota,3745,0
jakarta timur,Lapan,300,9,Sekunder,Kolektor,Kota,66026,0
jakarta timur,Laut Arafuru,300,8,Sekunder,Kolektor,Kota,90434,0
jakarta timur,Laut Banda,225,8,Sekunder,Kolektor,Kota,95052,0
jakarta timur,Layur,1015,10,Sekunder,Kolektor,Kota,64703,0
jakarta timur,Lestari (Kali Sari),350,7,Sekunder,Kolektor,Kota,66174,0
jakarta timur,Lubang Buaya Raya / Rawa Binong,2775,9,Sekunder,Kolektor,Kota,66156,0
jakarta timur,Mahoni,825,7,Sekunder,Kolektor,Kota,66062,0
jakarta timur,Malaka,2060,7,Sekunder,Kolektor,Kota,11600,0
jakarta timur,Malaka Baru,900,13,Sekunder,Kolektor,Kota,650,0
jakarta timur,Manggar 1,300,7,Sekunder,Kolektor,Kota,12603,0
jakarta timur,Manggarai Selatan 1,570,7,Sekunder,Kolektor,Kota,3003,0
jakarta timur,Mapilindo,1300,7,Sekunder,Kolektor,Kota,55454,0
jakarta timur,Masjid Al Wusto,800,7,Sekunder,Kolektor,Kota,3512,0
jakarta timur,Mawar Merah 1,300,7,Sekunder,Kolektor,Kota,696,0
jakarta timur,Mawar Merah Raya,750,7,Sekunder,Kolektor,Kota,695,0
jakarta timur,Media Massa,300,7,Sekunder,Kolektor,Kota,698,0
jakarta timur,Merbabu,575,8,Sekunder,Kolektor,Kota,44742,0
jakarta timur,Metro Jaya,300,7,Sekunder,Kolektor,Kota,65055,0
jakarta timur,Monumen Pancasila Sakti,900,9,Sekunder,Kolektor,Kota,748,0
jakarta timur,Mustang,660,7,Sekunder,Kolektor,Kota,71931,0
jakarta timur,"Naman, H (Pd. Kelapa)",2100,7,Sekunder,Kolektor,Kota,849,0
jakarta timur,Nusa Indah Raya,200,7,Sekunder,Kolektor,Kota,59498,0
jakarta timur,Otista 3,1325,7,Sekunder,Kolektor,Kota,89243,0
jakarta timur,Otista 4,150,7,Sekunder,Kolektor,Kota,12790,0
jakarta timur,Pakis Raya,580,10,Sekunder,Kolektor,Kota,42108,0
jakarta timur,Pal Meriam,300,7,Sekunder,Kolektor,Kota,3820,0
jakarta timur,Palad,1450,7,Sekunder,Kolektor,Kota,745,0
jakarta timur,Palmeriam Selatan,375,7,Sekunder,Kolektor,Kota,59635,0
jakarta timur,Palmeriam Utara,450,7,Sekunder,Kolektor,Kota,59634,0
jakarta timur,Paus,371,9,Sekunder,Kolektor,Kota,64619,0
jakarta timur,Pedati,900,7,Sekunder,Kolektor,Kota,3604,0
jakarta timur,Pegambiran,385,9,Sekunder,Kolektor,Kota,64242,0
jakarta timur,Penganten Ali,1612,7,Sekunder,Kolektor,Kota,66120,0
jakarta timur,Pernis,165,7,Sekunder,Kolektor,Kota,71934,0
jakarta timur,Persahabatan,506,15,Sekunder,Kolektor,Kota,64219,0
jakarta timur,Persahabatan Utara,345,8,Sekunder,Kolektor,Kota,64241,0
jakarta timur,Perserikatan,115,9,Sekunder,Kolektor,Kota,24305,0
jakarta timur,Perumnas Raya,2450,10,Sekunder,Kolektor,Kota,59487,0
jakarta timur,Petengahan,1173,7,Sekunder,Kolektor,Kota,88216,0
jakarta timur,Pisangan Baru Tengah,750,7,Sekunder,Kolektor,Kota,3489,0
jakarta timur,Pisangan Baru Timur,350,7,Sekunder,Kolektor,Kota,75421,0
jakarta timur,Pisangan Baru Utara,375,7,Sekunder,Kolektor,Kota,75422,0
jakarta timur,Pisangan Lama 3,1310,8,Sekunder,Kolektor,Kota,22800,0
jakarta timur,Pisangan Lama Selatan,1575,7,Sekunder,Kolektor,Kota,2457,0
jakarta timur,Pisangan Lama Timur,1200,7,Sekunder,Kolektor,Kota,59601,0
jakarta timur,Pkp Ciracas,1500,7,Sekunder,Kolektor,Kota,66079,0
jakarta timur,Poncol,1200,6,Sekunder,Kolektor,Kota,3490,0
jakarta timur,Pondasi,198,12,Sekunder,Kolektor,Kota,64064,0
jakarta timur,Pondok Bambu Asri Raya,525,7,Sekunder,Kolektor,Kota,46643,0
jakarta timur,Pondok Bambu Batas,500,7,Sekunder,Kolektor,Kota,58248,0
jakarta timur,Pondok Kelapa Barat,1125,7,Sekunder,Kolektor,Kota,58286,0
jakarta timur,Pondok Kelapa Raya,3600,7,Sekunder,Kolektor,Kota,59794,0
jakarta timur,Pondok Kelapa Timur,1125,8,Sekunder,Kolektor,Kota,38808,0
jakarta timur,Pondok Kopi Timur,600,8,Sekunder,Kolektor,Kota,2935,0
jakarta timur,Pulo Asem Raya,300,7,Sekunder,Kolektor,Kota,64800,0
jakarta timur,Pulo Asem Timur,225,7,Sekunder,Kolektor,Kota,64797,0
jakarta timur,Pulo Asem Utara,825,7,Sekunder,Kolektor,Kota,64795,0
jakarta timur,Pulo Gadel Tembus Pondok Gede,1800,7,Sekunder,Kolektor,Kota,13730,0
jakarta timur,Pulo Gadung,2130,15,Sekunder,Kolektor,Kota,44940,0
jakarta timur,Pulo Kambing (Kawasan  Pt Jiep),1110,24,Sekunder,Kolektor,Kota,7410,0
jakarta timur,Pulo Lentut,1150,14,Sekunder,Kolektor,Kota,2440,0
jakarta timur,Pulo Lio,1130,25,Sekunder,Kolektor,Kota,68008,0
jakarta timur,Pulo Mas,785,14,Sekunder,Kolektor,Kota,64118,0
jakarta timur,Pulo Mas Barat,1125,9,Sekunder,Kolektor,Kota,64383,0
jakarta timur,Pulo Mas Jaya,525,7,Sekunder,Kolektor,Kota,2446,0
jakarta timur,Pulo Mas Selatan,1350,7,Sekunder,Kolektor,Kota,24303,0
jakarta timur,Pulo Mas Timur,1125,7,Sekunder,Kolektor,Kota,2445,0
jakarta timur,Pulo Mas Utara,680,8,Sekunder,Kolektor,Kota,93567,0
jakarta timur,Pulo Nangka Timur,675,7,Sekunder,Kolektor,Kota,64156,0
jakarta timur,Rajawali Baru,700,7,Sekunder,Kolektor,Kota,55460,0
jakarta timur,Rajawali Raya,600,7,Sekunder,Kolektor,Kota,55459,0
jakarta timur,Rawa Domba,2050,8,Sekunder,Kolektor,Kota,222,0
jakarta timur,Rawa Gelam,700,7,Sekunder,Kolektor,Kota,7421,0
jakarta timur,Rawa Sumur Barat,1400,9,Sekunder,Kolektor,Kota,4065,0
jakarta timur,Rawamangun Muka,525,8,Sekunder,Kolektor,Kota,64446,0
jakarta timur,Rawamangun Muka Barat,890,8,Sekunder,Kolektor,Kota,64453,0
jakarta timur,Rawamangun Muka Selatan,346,8,Sekunder,Kolektor,Kota,22700,0
jakarta timur,Rawamangun Muka Timur,600,8,Sekunder,Kolektor,Kota,64454,0
jakarta timur,Selat Makasar,1100,8,Sekunder,Kolektor,Kota,3515,0
jakarta timur,Selat Roti,1300,8,Sekunder,Kolektor,Kota,3559,0
jakarta timur,Sinar Jaya,330,7,Sekunder,Kolektor,Kota,64232,0
jakarta timur,Slamet Riyadi,361,9,Sekunder,Kolektor,Kota,60009,0
jakarta timur,Sunan Derajat,270,7,Sekunder,Kolektor,Kota,64659,0
jakarta timur,Sunan Giri,365,7,Sekunder,Kolektor,Kota,64113,0
jakarta timur,Sunan Sedayu,420,7,Sekunder,Kolektor,Kota,64638,0
jakarta timur,Swadaya,250,9,Sekunder,Kolektor,Kota,68012,0
jakarta timur,Taman Malaka Selatan,1350,7,Sekunder,Kolektor,Kota,59417,0
jakarta timur,Taman Mini Indonesia,653,16,Sekunder,Kolektor,Kota,62758,0
jakarta timur,Taman Pulo Asem,675,7,Sekunder,Kolektor,Kota,59544,0
jakarta timur,Tanah Mas,467,8,Sekunder,Kolektor,Kota,64506,0
jakarta timur,Tanah Mas 1,450,7,Sekunder,Kolektor,Kota,64601,0
jakarta timur,Tanah Merdeka ,2440,8,Sekunder,Kolektor,Kota,66119,0
jakarta timur,Taruna Jaya,400,7,Sekunder,Kolektor,Kota,11372,0
jakarta timur,Tawes,340,7,Sekunder,Kolektor,Kota,64887,0
jakarta timur,Tegalan,225,7,Sekunder,Kolektor,Kota,60004,0
jakarta timur,"Ten, H",435,11,Sekunder,Kolektor,Kota,16137,0
jakarta timur,Tengah Raya,1425,7,Sekunder,Kolektor,Kota,66113,0
jakarta timur,Teratai Putih Raya,548,7,Sekunder,Kolektor,Kota,7522,0
jakarta timur,Tidar,525,8,Sekunder,Kolektor,Kota,59744,0
jakarta timur,Tiner,286,8,Sekunder,Kolektor,Kota,64298,0
jakarta timur,Tmii Pintu 2,1450,7,Sekunder,Kolektor,Kota,90004,0
jakarta timur,Trikora,2355,7,Sekunder,Kolektor,Kota,66136,0
jakarta timur,Utan Kayu,1425,7,Sekunder,Kolektor,Kota,71943,0
jakarta timur,Waringin Raya,300,7,Sekunder,Kolektor,Kota,59599,0
jakarta timur,Waru,551,7,Sekunder,Kolektor,Kota,64250,0
jakarta timur,Wijaya Kusuma,885,10,Sekunder,Kolektor,Kota,7450,0
jakarta timur,Wisma Jaya,345,7,Sekunder,Kolektor,Kota,64204,0
,,,,,,,,
