nama_terminal_bus,jenis_terminal,tipe_terminal,luas_m²,tahun_pembangunan,alamat
Blok M,Dalam Kota,B,9000,1992,Jl. Hasanudin
Cililitan,Dalam Kota,B,6000,1998,Jl. Dewi Sartika
Grogol,Dalam Kota,B,14283,1969,Jl. Kyai Tapa
Kalideres,Antar Kota,A,35344,1985,Jl. Raya Daan Mogot
Kampung Melayu,Dalam Kota,B,2500,1968,Jl. Jatinegara
Kampung Rambutan,Antar Kota,A,228200,1992,Jl. Letjen TB. Simatupang
Klender,Dalam Kota,B,2047,1981,Jl. Teratai Putih
Lebak Bulus,Antar Kota dan Dalam Kota,A,20000,1990,Jl. Raya Pasar Jum'at
Manggarai,Dalam Kota,B,1021,1985,Jl. Manggarai
Muara Angke,Dalam Kota,B,1783,1989,Jl. Raya Muara Angke
Pasar Minggu,Dalam Kota,B,7816,1989,Jl. Raya Pasar Minggu
Pinang Ranti,Dalam Kota,B,2948,1995,Jl. Pondok Gede
Pulo Gadung / TMB,Antar Kota / TMB,A,35196,1976,Jl. Raya Bekasi
Ragunan ,Dalam Kota,B,3456,1991,Jl. Harsono RM
Rawamangun,Dalam Kota,B,11958,1972,Jl. Perserikatan No. 1
Senen,Dalam Kota,B,8917,1980,Jl Gunung Sahari
Tanjung Priok,Dalam Kota,B,10963,1967,Jl. Enggano
Rawa Buaya ,Terminal Mobil Barang,,90000,2015,Jl. Rawa Buaya
Tanah Merdeka,Terminal Mobil Barang,,50000,1992,Jl. Raya Cilincing No. 1
Pulo Gebang ,Terminal Mobil Barang,,19240,,Jl. Raya Pulo Gebang
