tahun,jenis,bulan,jumlah
2020,MRT,1,2638464
2020,MRT,2,2564870
2020,MRT,3,1403638
2020,MRT,4,121578
2020,MRT,5,43544
2020,MRT,6,340533
2020,MRT,7,559541
2020,MRT,8,521818
2020,MRT,9,389748
2020,MRT,10,343981
2020,MRT,11,498680
2020,MRT,12,487425
