nama_po,jumlah_bus
PT. Sinar Jaya Megah Langgeng,706
PT. Primajasa Perdanaraya,404
Damri St.Bandara Soetta,253
Perum PPD,225
PT. Arimbi Jaya Agung,224
"PT. Eka Sari Lorena Transport,Tbk (Lorena)",201
PT. Kramat Djati Cab.Jakarta,148
PT. Pahala Kencana,145
PT. Hiba Utama Cq. Laju Prima,125
PT. Anugerah Mas,95
PT. Garuda Mas Putera Esa Cab.Jakarta,72
PT. Warga Baru Expres Cab Jakarta,66
PT. Hiba Utama Cq. Laju Utama,64
Benteng Jaya,51
Daya Melati Indah Cq. PT. SJML,47
Bima Suci,30
Bina Optima Sj Cq. Pandu Jaya,30
PT. Ryanta Mitra Karina,25
PT. Setia Negara Cab Jakarta,23
Perum Damri St. Jakarta,21
PT. BPW. Pahala Kencana,21
PT. Safari Dharma Sakti Cab Jakarta,19
Kowanbisata,18
PT. Hiba Utama,18
Tunggal Dara Indonesia,18
PT. Primajasa Perdanarayaputra,15
PT. Malino Putra Kencana,13
PT. Gajah Mulia Sejahtera,9
PT. Andhora Nusantara Persada,6
PT. Anggrek Cempaka,6
Dewi Sri Pangestu,5
PT. Gajah Mungkur Sejahtera,5
Sinar Jaya Langgeng Utama,3
