jenis_kendaraan,nama_perusahaan,jumlah_unit 
BUSWAY,PT TRANSPORTASI JAKARTA,874
BUSWAY,UNIT TRANS SWADAYA,80
Angkutan Kota Antar Provinsi (AKAP),PERUM PPD,494
Bus Besar,PT MAYASARI BAKTI,279
Bus Sedang,KOPERASI ANGKUTAN JAKARTA (KOPAJA),310
Bus Sedang,PT STEADY SAFE,119
Angkutan Perkotaan,PERUM DAMRI,46
Bus Besar,PT BPW PAHALA KENCANA,15
BUS BESAR,PT MAYASARI BAKTI,12
BUS KECIL,KOPAMILET JAYA,827
BUS KECIL,KOMILET JAYA,1033
BUS KECIL,KOLAMAS JAYA,447
BUS KECIL,KOPERASI PURIMAS JAYA,390
BUS KECIL,KOPERASI ANGKUTAN UMUM BUDI LUHUR,251
BUS KECIL,PT. LESTARISURYA GEMA PERSADA,101
BUS KECIL,PUSKOPAU HALIM PERDANAKUSUMA,96
BUS KECIL,KOMIKA JAYA,39
BUS KECIL,PT  KENCANA SAKTI TRANSPORT,52
APB,KOMIKA JAYA,201
APB,KOLAMAS JAYA,179
APB,KOPERASI ANGKUTAN UMUM BUDI LUHUR,155
APB,KOPERASI PURIMAS JAYA,44
APB,KOMILET JAYA,34
APB,KOPAMILET JAYA,1
KWK,KOPERASI WAHANA KALPIKA,2527
RODA 3 & RODA 4,KOLAMAS JAYA,1617
RODA 3 & RODA 5,KOPERASI ANGGREK SEROJA,1142
RODA 3 & RODA 6,KOPERASI BINTANG TIMUR RODA TIGA ,806
RODA 3 & RODA 7,PT LESTARISURYA GEMAPERSADA,181
RODA 3 & RODA 8,KOPERASI JASA MATAHARI UTAMA,88
RODA 3 & RODA 9,KOPERASI ANGKUTAN UMUM BUDI LUHUR,68
RODA 3 & RODA 10,KOPERASI JASA TRANSPORTASI NASIONAL (KOPTRANNAS),17
RODA 3 & RODA 11,KOPERASI SURYA KENCANA,15
RODA 3 & RODA 12,KOPERASI BAJAJ KARYA MAJU DKI JAKARTA (KOBAYAMA DKI JAKARTA),10
RODA 3 & RODA 13,PT MATAHARI TRANS UTAMA,8
RODA 3 & RODA 14,KOPERASI BAJAJ JAYA MANDIRI,4
