shift,waktu,durasi,satuan
Shift 1 (Pagi),Pukul 05.30 - 07.00 WIB,1.5,Jam
Shift 2 (Siang),Pukul 11.00 - 14.00 WIB,3,Jam
Shift 3 (Sore),Pukul 14.30 - 16.00 WIB,1.5,Jam
Shift 3 (Sore),Pukul 17.00 - 18.30 WIB,1.5,Jam
