operator,jenis_kendaraan,jenis_layanan,jumlah_armada,jumlah_trayek
"PT. Jakarta Trans Metropolitan - Kor 4","Busway","Reguler",,
"PT. Jakarta Trans Metropolitan - Kor 6","Busway","Reguler",,
"PT. Transbatavia - Kor 2","Busway","Reguler",,
"PT. Transbatavia - Kor 3","Busway","Reguler",,
"PT. Primajasa Perdanaraya Utama - Kor 4","Busway","Reguler",,
"PT. Primajasa Perdanaraya Utama - Kor 6","Busway","Reguler",,
"PT. Jakarta Express Trans - Kor 1","Busway","Reguler",,
"PT. Transmayapada Busway - Kor 9","Busway","Reguler",,
"PT. Transmayapada Busway - Kor 10","Busway","Reguler",,
"PT. Eka Sari Lorena Transport - Kor 5","Busway","Reguler",,
"PT. Eka Sari Lorena Transport - Kor 7","Busway","Reguler",,
"PT. Bianglala Metropolitan - Kor 9","Busway","Reguler",,
"PT. Bianglala Metropolitan - Kor 10","Busway","Reguler",,
"PT. Bianglala Metropolitan - Kor 12","Busway","Reguler",,
"Perum DAMRI - Kor 1","Busway","Reguler",,
"Perum DAMRI - Kor 8","Busway","Reguler",,
"Perum DAMRI - Kor 11","Busway","Reguler",,
"UPTJ - Kor 2 Exp","Busway","Reguler",,
"UPTJ - Kor 3 Exp","Busway","Reguler",,
"UPTJ - Kor 9","Busway","Reguler",,
