jenis_kendaraan,nama_perusahaan,jumlah_unit ,
Angkutan Lingkungan,Koperasi Jasa Transportasi Nasional (KOPALIJA),799,
Angkutan Lingkungan,Koperasi Matahari Jasa Trans Utama,610,
Angkutan Lingkungan,Koperasi Bintang Timur Roda Tiga,1063,
Angkutan Lingkungan,PT. Matahari Trans Utama,2462,
Angkutan Lingkungan,Koperasi Kolamas Jaya,2900,
Angkutan Lingkungan,Koperasi Jasa Transportasi Nasional DKI Jakarta (KOPTRANNAS),885,
Angkutan Lingkungan,Koperasi Bajaj Sehati,309,
Angkutan Lingkungan,PT. Lestarisurya Gemapersada,229,
Angkutan Lingkungan,Koperasi Jasa Surya Kencana,256,
Angkutan Lingkungan,Koperasi Angkutan Umum Budi Luhur DKI Jakarta,186,
Angkutan Lingkungan,Koperasi KOPASABA,205,
Angkutan Sewa Umum,PT. Pusaka Prima Transport,374,
Angkutan Sewa Umum,PT. Laks Prima Transport,20,
Angkutan Sewa Umum,PT. Surya Anugerah Kencana,7,
Angkutan Sewa Umum,PT. Dragon Jaya Utama,5,
Angkutan Sewa Umum,HRC Prima Sejahtera,5,
Angkutan Sewa Umum,PT. Weha Transportasi Indonesia,5,
Angkutan Sewa Umum,PT. Canary Transport,5,
Angkutan Sewa Umum,PT.  Golden Bird Metro,4,
Angkutan Sewa Umum,PT. Safari Dharma Sakti,3,
Angkutan Sewa Khusus,JTUB,3005,
Angkutan Sewa Khusus,PPRI,2120,
Angkutan Sewa Khusus,PT. Panorama Mitra Sarana,6397,
Angkutan Sewa Khusus,PT. Teknologi Pengangkutan Indonesia,239,
Angkutan Sewa Khusus,PT. Berkah Transindo Sejahtera,9,
Angkutan Sewa Khusus,PT. CSM Corporatama ,5,
Angkutan Sewa Khusus,Induk Koperasi Kepolisian Negara RI (INKOPPOL),5,
Pariwisata,PT. Hiba Utama,998,
Pariwisata,PT. Hiba Utama (2),949,
Pariwisata,PT. Big Bird Pusaka,665,
Pariwisata,PT. Sinar Jaya Langgeng Utama,508,
Pariwisata,PT. Panorama Transportasi,229,
Pariwisata,PT. Big Bird,122,
Pariwisata,PT. City Trans Utama,117,
Pariwisata,PT. Destinasi Tirta Nusantara,117,
Pariwisata,PT. Fajar Cemerlang Binakharisma,98,
Pariwisata,PT. Arion Indonesia Transport,60,
Pariwisata,PT. Pahala Kencana,53,
Pariwisata,PT. Kramatdjati Asri Sejati,48,
Pariwisata,PT. Warga Baru Expres,43,
Pariwisata,PT. Ekspress Mulia Perdana,37,
Pariwisata,PT. Express Transindo Utama,36,
Pariwisata,PT. Primajasa Perdanaraya U.,35,
Pariwisata,PO. Safari Eka Kapti,32,
Pariwisata,PT. Vista Touristama Transport,27,
Pariwisata,PT. Safari Dharma Sakti,25,
Pariwisata,PT. Yalakarya Rintiskrida,25,
Pariwisata,PT. Express Kencanakelola Jayajasa,25,
Pariwisata,PT. Cipaganti Citra Graha Cab. Jakarta,25,
Pariwisata,PT. Vaya Transport,25,
Pariwisata,PT. Desiana Citra Lestari,17,
Pariwisata,PT. Indo Hasstra,17,
Pariwisata,PT. Dharma Indah Agung Metropolitan,16,
Pariwisata,PT. Jaya Murni Sejahtera,15,
Pariwisata,PT. Semesta Indo Prima,15,
Pariwisata,Perum Damri St. Wisata,12,
Pariwisata,PT. Metro Multi Transportasi,12,
Pariwisata,PT. Solusindo Anugerah Wisata,11,
Pariwisata,Perum. P.P.D.,10,
Pariwisata,PT. Kanaya Trans Wisata,10,
Pariwisata,PT. Mitra Global Holiday,9,
Pariwisata,PT. Mano Marion,9,
Pariwisata,PT. Prima Vijaya Indah,8,
Pariwisata,PT. Anugerah Mas,8,
Pariwisata,PT. Griya Damai Kita,7,
Pariwisata,PT. Antar Arah,6,
Pariwisata,PT. Sabah Nusantara,6,
Pariwisata,PT. Indonesia Indah Wisata,6,
Pariwisata,PT. Ilung Pratama,5,
Pariwisata,PT. Prima Transport Indonesia,5,
Pariwisata,PT. Laks Premium Autobus,5,
Pariwisata,PT. Malino Putra Kencana,5,
Pariwisata,PT. Canary Transport,5,
Pariwisata,PT. Nuansa Magna Wisata,5,
Pariwisata,PT. Cahaya Mitra Mikum,5,
Pariwisata,PT. Agus Jaya Sekawan,5,
Pariwisata,PT. Ayuta Samarthya,5,
Pariwisata,PT. Rudi Mapan Jaya,5,
Pariwisata,PT. Nugindo Travel Service,4,
Pariwisata,PT. Bpw Pahala Kencana,4,
Pariwisata,PT. Bintang Kedjora Putra Utama,3,
Pariwisata,PT. Eurasia Wisata T & T,2,
Pariwisata,PT. Marintur Indonesia,2,
Pariwisata,PT. E World Transport,2,
Pariwisata,PT. Hanida Utama Usaha Bersama,2,
Pariwisata,PT. Jakarta Transporter Service,2,
Pariwisata,PT. Midas Transportasi,2,
Antar Jemput Antar Provinsi (AJAP),PT. Star Line,41,
Antar Jemput Antar Provinsi (AJAP),PT. Sinar Jaya Megah Langgeng,24,
Antar Jemput Antar Provinsi (AJAP),PT. Cipaganti Citra Graha,22,
Antar Jemput Antar Provinsi (AJAP),PT. Primajasa Perdanaraya Utama,14,
Antar Jemput Antar Provinsi (AJAP),PT. Jala Bhakti Yasbhum,10,
Antar Jemput Antar Provinsi (AJAP),PT. Citra Maharlika Lintas Wahana,7,
Antar Jemput Antar Provinsi (AJAP),PT. Kraka Wisata Mandiri,5,
Antar Jemput Antar Provinsi (AJAP),PT. Dragon Jaya Utama,4,
,,,
